time,x,y,z
21:49:48.063,0.25,-0.18,0.94
21:49:48.267,0.31,-0.21,0.88
21:49:48.473,0.26,-0.20,0.94
21:49:48.673,0.21,-0.07,0.95
21:49:48.889,0.32,-0.14,1.12
21:49:49.074,0.21,-0.10,1.02
21:49:49.276,0.25,-0.08,0.99
21:49:49.477,0.27,-0.20,1.06
21:49:49.678,0.23,-0.23,0.97
21:49:49.878,0.30,-0.15,0.94
21:49:50.096,0.22,-0.26,1.02
21:49:50.298,0.30,-0.25,0.93
21:49:50.501,0.23,-0.10,1.01
21:49:50.701,0.25,-0.04,0.82
21:49:50.893,0.23,-0.13,0.99
21:49:51.102,0.28,-0.17,0.87
21:49:51.303,0.27,-0.10,0.95
21:49:51.505,0.23,-0.07,0.91
21:49:51.705,0.21,-0.02,0.99
21:49:51.922,0.27,-0.18,0.93
21:49:52.097,0.27,-0.13,1.03
21:49:52.308,0.26,-0.05,0.89
21:49:52.508,0.19,-0.05,0.93
21:49:52.708,0.23,-0.22,1.00
21:49:52.924,0.25,-0.13,1.00
21:49:53.113,0.25,-0.14,1.05
21:49:53.318,0.18,-0.19,0.93
21:49:53.536,0.20,-0.30,1.03
21:49:53.728,0.21,-0.19,0.94
21:49:53.928,0.17,-0.16,0.88
21:49:54.130,0.17,-0.29,1.12
21:49:54.332,0.17,-0.23,1.04
21:49:54.533,0.30,-0.21,0.99
21:49:54.722,0.23,-0.33,0.89
21:49:54.933,0.26,-0.28,0.89
21:49:55.132,0.23,-0.13,0.78
21:49:55.350,0.27,-0.24,0.95
21:49:55.550,0.18,-0.24,0.92
21:49:55.767,0.16,-0.21,1.02
21:49:55.941,0.23,-0.19,1.07
21:49:56.151,0.23,-0.20,1.07
21:49:56.352,0.21,-0.11,0.93
21:49:56.554,0.25,-0.20,0.98
21:49:56.754,0.22,-0.25,0.97
21:49:56.957,0.25,-0.18,1.00
21:49:57.158,0.25,-0.25,0.87
21:49:57.349,0.21,-0.24,1.04
21:49:57.559,0.22,-0.17,1.05
21:49:57.763,0.21,-0.17,0.95
21:49:57.963,0.27,-0.18,0.91
21:49:58.163,0.26,-0.20,1.06
21:49:58.368,0.24,-0.21,1.04
21:49:58.570,0.23,-0.22,0.92
21:49:58.769,0.24,-0.16,1.00
21:49:58.986,0.23,-0.12,0.93
21:49:59.176,0.24,-0.25,0.98
21:49:59.390,0.26,-0.17,0.94
21:49:59.591,0.29,-0.29,0.98
21:49:59.792,0.23,-0.22,0.95
21:49:59.995,0.24,-0.12,1.00
21:50:00.195,0.32,-0.11,0.99
21:50:00.396,0.23,-0.23,1.03
21:50:00.595,0.22,-0.19,0.86
21:50:00.786,0.22,-0.22,1.03
21:50:00.988,0.30,-0.25,0.98
