time,x,y,z
21:10:19.269,0.20,-0.18,0.94
21:10:19.472,0.20,-0.13,0.95
21:10:19.674,0.24,-0.29,1.06
21:10:19.862,0.25,-0.21,1.01
21:10:20.074,0.18,-0.14,0.96
21:10:20.273,0.18,-0.23,1.06
21:10:20.473,0.27,-0.19,1.11
21:10:20.674,0.14,-0.20,0.84
21:10:20.891,0.14,-0.13,0.91
21:10:21.081,0.27,-0.21,0.97
21:10:21.292,0.26,-0.15,0.95
21:10:21.492,0.23,-0.15,0.96
21:10:21.693,0.30,-0.23,1.03
21:10:21.893,0.22,-0.23,1.04
21:10:22.109,0.21,-0.14,1.00
21:10:22.283,0.29,-0.18,0.89
21:10:22.494,0.25,-0.12,0.94
21:10:22.693,0.23,-0.14,0.98
21:10:22.896,0.25,-0.18,0.98
21:10:23.111,0.23,-0.21,0.99
21:10:23.301,0.24,-0.20,1.04
21:10:23.503,0.25,-0.12,0.95
21:10:23.714,0.16,-0.20,0.96
21:10:23.914,0.28,-0.21,0.99
21:10:24.115,0.30,-0.16,0.97
21:10:24.316,0.16,-0.16,0.96
21:10:24.517,0.08,-0.14,0.94
21:10:24.720,0.15,-0.18,0.95
21:10:24.909,0.16,-0.12,0.91
21:10:25.113,0.18,-0.23,1.02
21:10:25.339,0.18,-0.17,1.07
21:10:25.524,0.17,-0.09,0.94
21:10:25.725,0.14,-0.18,0.96
21:10:25.940,0.13,-0.18,0.97
21:10:26.129,0.16,-0.16,0.89
21:10:26.342,0.16,-0.18,0.98
21:10:26.532,0.21,-0.21,0.96
21:10:26.736,0.17,-0.21,1.08
21:10:26.951,0.16,-0.14,0.91
21:10:27.151,0.18,-0.14,0.97
21:10:27.350,0.12,-0.20,1.01
21:10:27.551,0.10,-0.25,0.99
21:10:27.751,0.20,-0.12,0.73
21:10:27.970,0.15,-0.15,0.90
21:10:28.143,0.12,-0.21,1.01
21:10:28.355,0.15,-0.04,0.86
21:10:28.555,0.08,-0.29,1.31
21:10:28.755,0.13,-0.09,0.88
21:10:28.956,0.03,-0.17,1.00
21:10:29.186,0.16,-0.07,0.92
21:10:29.372,0.10,-0.14,0.94
21:10:29.571,0.13,-0.09,0.93
21:10:29.771,0.09,-0.17,0.98
21:10:29.972,0.14,-0.27,1.06
21:10:30.188,0.20,-0.20,0.98
21:10:30.363,0.23,-0.25,1.00
21:10:30.575,0.14,-0.23,0.89
21:10:30.776,0.27,-0.25,1.03
21:10:30.977,0.16,-0.17,0.95
21:10:31.178,0.20,-0.20,0.84
21:10:31.393,0.17,-0.12,0.95
21:10:31.579,0.35,-0.43,1.14
21:10:31.813,0.07,0.14,0.88
21:10:31.988,0.17,-0.11,0.98
21:10:32.198,0.22,-0.06,0.92
21:10:32.399,0.30,-0.12,0.81
21:10:32.598,0.14,-0.16,1.20
21:10:32.799,0.23,-0.19,0.86
21:10:33.001,0.26,-0.06,0.85
21:10:33.192,0.20,-0.12,0.97
21:10:33.393,0.15,-0.14,0.94
21:10:33.603,0.17,-0.09,0.98
21:10:33.803,0.09,-0.07,1.01
21:10:34.004,-0.08,-0.52,1.05
21:10:34.221,0.00,-0.08,1.12
21:10:34.438,0.07,-0.05,0.97
21:10:34.626,0.02,-0.18,1.17
21:10:34.826,0.05,-0.26,0.89
21:10:35.025,0.02,-0.16,1.00
21:10:35.225,0.03,-0.22,0.98
21:10:35.426,0.01,-0.11,0.99
21:10:35.628,0.11,-0.24,0.89
21:10:35.844,0.07,-0.18,0.78
21:10:36.018,0.09,-0.14,1.11
21:10:36.221,0.29,-0.06,1.05
21:10:36.434,0.28,-0.41,1.00
21:10:36.629,0.25,-0.25,0.95
21:10:36.837,0.14,-0.26,0.89
21:10:37.053,0.18,-0.29,0.98
21:10:37.254,0.18,-0.22,0.92
21:10:37.456,0.41,-0.20,0.98
21:10:37.657,0.16,-0.20,1.08
21:10:37.849,0.21,-0.15,0.84
21:10:38.057,-0.04,-0.06,0.96
21:10:38.258,0.19,-0.08,1.00
21:10:38.458,0.27,-0.29,1.03
21:10:38.659,0.01,-0.17,0.70
21:10:38.860,0.28,-0.26,0.90
21:10:39.060,0.21,-0.24,0.80
21:10:39.261,0.11,-0.23,1.03
21:10:39.478,0.15,-0.16,0.86
21:10:39.677,0.20,-0.29,0.97
21:10:39.877,0.23,-0.16,0.94
21:10:40.092,0.23,-0.24,0.73
21:10:40.277,0.16,-0.14,0.95
21:10:40.477,0.14,-0.23,0.96
21:10:40.678,0.12,-0.11,0.94
21:10:40.881,0.11,-0.16,1.00
21:10:41.082,0.14,-0.11,0.94
21:10:41.283,0.14,-0.15,0.96
21:10:41.485,0.11,-0.11,1.03
21:10:41.701,0.19,-0.17,1.02
21:10:41.887,0.23,-0.12,0.91
21:10:42.101,0.11,-0.15,0.95
21:10:42.303,0.07,-0.28,0.88
21:10:42.504,0.34,-0.30,1.11
21:10:42.705,0.18,-0.13,0.89
21:10:42.894,0.14,-0.24,0.85
21:10:43.106,0.08,0.07,1.02
21:10:43.307,0.22,-0.09,1.00
21:10:43.509,0.21,-0.16,1.03
21:10:43.711,0.16,-0.14,0.91
21:10:43.912,0.14,-0.16,0.89
21:10:44.113,0.14,-0.21,1.03
21:10:44.328,0.12,-0.07,0.83
21:10:44.530,0.11,-0.17,0.96
21:10:44.730,0.16,-0.10,0.92
21:10:44.931,0.20,-0.21,1.01
