time,x,y,z
22:15:56.534,0.34,-0.20,0.89
22:15:56.746,0.25,-0.09,0.99
22:15:56.948,0.28,-0.21,0.97
22:15:57.148,0.19,-0.15,0.96
22:15:57.351,0.23,-0.17,0.97
22:15:57.553,0.26,-0.09,1.00
22:15:57.753,0.17,-0.09,1.05
22:15:57.959,0.20,-0.10,0.96
22:15:58.170,0.32,-0.25,1.05
22:15:58.355,0.24,-0.07,0.86
22:15:58.556,0.20,-0.12,0.98
22:15:58.757,0.19,-0.10,0.77
22:15:58.958,0.14,-0.17,1.07
22:15:59.160,0.12,-0.22,0.77
22:15:59.362,0.21,-0.07,1.22
22:15:59.566,0.19,-0.16,1.07
22:15:59.781,0.19,-0.01,0.76
22:15:59.980,0.35,-0.11,0.96
22:16:00.180,0.20,-0.15,0.96
22:16:00.379,0.23,-0.12,0.92
22:16:00.580,0.29,-0.03,0.86
22:16:00.770,0.23,-0.07,0.94
22:16:00.981,0.21,-0.09,0.89
22:16:01.183,0.27,-0.07,0.93
22:16:01.383,0.21,-0.11,1.08
22:16:01.599,0.03,-0.12,0.95
22:16:01.798,0.32,-0.09,1.09
22:16:01.988,0.29,0.04,1.37
22:16:02.189,0.40,-0.12,0.87
22:16:02.402,0.20,-0.17,0.89
22:16:02.602,0.27,-0.14,1.04
22:16:02.803,0.21,-0.07,1.05
22:16:03.004,0.21,-0.10,0.99
22:16:03.204,0.24,-0.13,0.88
22:16:03.395,0.28,-0.17,1.04
22:16:03.606,0.25,-0.22,0.99
22:16:03.821,0.22,-0.11,1.04
22:16:04.022,0.23,-0.21,0.97
22:16:04.222,0.21,-0.18,0.95
22:16:04.426,0.25,-0.07,0.96
22:16:04.612,0.18,-0.16,0.88
22:16:04.823,0.25,-0.14,0.97
22:16:05.025,0.27,-0.15,0.98
22:16:05.226,0.24,-0.17,0.97
22:16:05.427,0.29,-0.11,0.93
22:16:05.627,0.11,-0.20,0.91
22:16:05.829,0.14,-0.09,0.75
22:16:06.044,0.04,-0.30,0.86
22:16:06.245,0.17,-0.19,1.02
22:16:06.445,0.18,-0.16,0.96
22:16:06.646,0.20,-0.17,0.94
22:16:06.846,0.25,-0.16,1.30
22:16:07.035,0.19,-0.03,0.88
22:16:07.245,0.16,-0.12,0.93
22:16:07.446,0.15,-0.21,1.04
22:16:07.660,0.05,-0.12,1.04
22:16:07.861,0.06,-0.13,1.00
22:16:08.048,0.20,-0.29,1.41
22:16:08.280,0.32,0.06,0.40
22:16:08.455,0.02,-0.11,0.84
22:16:08.666,0.13,-0.16,1.11
22:16:08.866,0.19,-0.05,0.84
22:16:09.066,0.07,0.05,0.97
22:16:09.268,0.15,0.08,1.11
22:16:09.473,0.09,-0.03,0.80
22:16:09.675,0.08,-0.21,1.05
22:16:09.877,0.21,-0.07,0.84
22:16:10.067,0.21,-0.21,0.92
22:16:10.269,0.06,0.12,0.91
22:16:10.477,-0.05,-0.37,1.07
22:16:10.678,0.10,-0.17,1.49
22:16:10.893,-0.05,-0.57,0.68
22:16:11.082,0.12,-0.25,0.85
22:16:11.282,0.20,-0.23,1.00
22:16:11.500,0.20,-0.10,0.97
22:16:11.699,0.23,-0.18,0.87
22:16:11.899,0.28,-0.16,0.95
22:16:12.099,0.23,-0.15,0.99
22:16:12.299,0.22,-0.20,0.85
22:16:12.501,0.26,-0.35,0.78
22:16:12.693,0.18,0.03,0.50
22:16:12.895,0.30,-0.03,1.29
22:16:13.103,0.12,0.00,1.13
22:16:13.303,0.14,-0.18,1.14
22:16:13.505,0.16,-0.18,0.93
22:16:13.721,0.20,-0.06,0.88
22:16:13.907,0.33,-0.23,1.06
22:16:14.139,0.18,-0.11,1.06
22:16:14.324,0.23,-0.26,0.90
22:16:14.524,-0.11,-0.50,1.19
22:16:14.724,0.15,-0.24,1.23
22:16:14.924,0.37,-0.02,0.79
22:16:15.140,0.17,-0.12,1.05
22:16:15.324,0.08,-0.06,0.99
22:16:15.524,0.29,0.14,1.21
22:16:15.739,0.36,-0.24,1.04
22:16:15.939,0.06,-0.20,1.22
22:16:16.157,0.14,-0.18,0.87
22:16:16.358,0.12,-0.14,0.93
22:16:16.543,0.16,-0.16,0.96
22:16:16.743,0.14,-0.13,1.00
22:16:16.944,0.14,-0.11,0.99
22:16:17.145,0.15,-0.09,1.02
22:16:17.347,0.20,-0.13,0.99
22:16:17.548,0.25,-0.02,0.99
22:16:17.765,0.30,-0.58,0.64
22:16:17.939,0.20,-0.34,0.96
22:16:18.152,0.07,-0.36,0.90
22:16:18.368,0.05,-0.13,1.11
22:16:18.553,0.12,-0.05,1.00
22:16:18.770,0.19,-0.14,0.95
22:16:18.970,0.15,-0.20,0.91
22:16:19.160,0.17,-0.14,1.07
22:16:19.373,0.25,-0.21,1.07
22:16:19.565,0.22,-0.18,0.96
22:16:19.769,0.15,-0.20,1.02
22:16:19.997,0.25,-0.14,0.91
22:16:20.183,0.22,-0.16,0.81
22:16:20.384,0.15,-0.19,1.09
22:16:20.583,0.09,-0.18,1.19
22:16:20.784,0.10,-0.22,0.89
22:16:20.999,0.19,-0.17,0.94
22:16:21.200,-0.05,-0.18,1.27
22:16:21.386,0.34,-0.07,1.12
