time,x,y,z
21:32:34.799,0.11,-0.27,0.92
21:32:35.017,0.13,-0.31,0.95
21:32:35.209,0.16,-0.16,0.95
21:32:35.418,0.14,-0.22,0.89
21:32:35.621,0.20,-0.24,0.93
21:32:35.820,0.21,-0.24,1.05
21:32:36.018,0.18,-0.24,0.91
21:32:36.223,0.25,-0.29,0.86
21:32:36.424,0.23,-0.30,0.68
21:32:36.614,0.26,-0.20,1.12
21:32:36.823,0.22,-0.08,1.08
21:32:37.023,0.16,-0.10,0.94
21:32:37.223,0.17,-0.07,0.92
21:32:37.439,0.11,-0.25,0.96
21:32:37.642,0.16,-0.11,0.95
21:32:37.844,-0.01,-0.01,1.30
21:32:38.036,0.23,-0.07,0.78
21:32:38.236,0.34,-0.03,0.73
21:32:38.446,0.16,-0.14,0.82
21:32:38.642,0.22,0.00,1.10
21:32:38.849,0.00,-0.31,1.18
21:32:39.050,0.14,-0.29,0.80
21:32:39.253,0.40,-0.11,1.11
21:32:39.469,0.10,0.12,1.08
21:32:39.670,0.20,-0.16,0.76
21:32:39.854,0.21,-0.25,0.67
21:32:40.055,0.08,-0.04,0.68
21:32:40.256,0.17,0.05,0.83
21:32:40.472,0.26,-0.15,0.86
21:32:40.673,0.33,0.02,0.97
21:32:40.863,0.25,-0.19,0.72
21:32:41.073,0.17,-0.16,1.09
21:32:41.273,0.34,-0.03,1.14
21:32:41.476,0.32,-0.11,1.02
21:32:41.677,0.23,-0.16,0.87
21:32:41.877,0.21,-0.22,0.89
21:32:42.109,0.08,-0.31,1.04
21:32:42.268,0.13,-0.18,1.15
21:32:42.481,0.08,-0.10,0.86
21:32:42.695,0.18,-0.15,1.14
21:32:42.898,0.10,-0.00,0.93
21:32:43.098,0.07,-0.14,0.87
21:32:43.299,0.18,-0.04,0.94
21:32:43.488,0.10,-0.12,0.88
21:32:43.700,0.09,-0.16,0.99
21:32:43.901,0.00,-0.27,1.02
21:32:44.103,0.27,-0.29,0.92
21:32:44.305,0.09,-0.21,1.00
21:32:44.506,0.10,-0.01,0.89
21:32:44.706,-0.12,-0.45,1.18
21:32:44.907,0.12,0.05,0.93
21:32:45.097,0.00,-0.17,0.84
21:32:45.298,0.08,-0.13,0.88
21:32:45.511,0.04,-0.12,1.09
21:32:45.712,0.08,-0.20,0.63
21:32:45.926,-0.01,-0.14,0.93
21:32:46.127,0.00,-0.23,1.08
21:32:46.333,0.01,-0.22,0.93
21:32:46.518,0.03,-0.12,0.93
21:32:46.730,0.06,-0.16,0.89
21:32:46.931,0.03,-0.26,0.91
21:32:47.132,0.08,-0.17,0.91
21:32:47.330,0.18,-0.23,0.79
21:32:47.533,0.14,-0.14,0.87
21:32:47.737,0.16,-0.22,1.12
21:32:47.939,0.18,-0.03,0.98
21:32:48.128,0.12,-0.20,1.07
21:32:48.340,0.02,-0.29,0.84
21:32:48.541,0.01,-0.23,0.85
21:32:48.756,0.23,-0.18,1.13
21:32:48.957,0.19,-0.33,0.88
21:32:49.157,0.13,-0.23,0.77
21:32:49.346,0.06,-0.20,1.05
21:32:49.549,0.10,-0.21,0.83
21:32:49.761,0.24,-0.29,0.74
21:32:49.962,0.34,-0.27,0.86
21:32:50.163,0.15,-0.29,0.65
21:32:50.364,0.05,-0.35,0.80
21:32:50.565,0.15,-0.33,0.79
21:32:50.766,0.24,-0.30,1.15
21:32:50.970,0.12,-0.26,0.72
21:32:51.160,0.19,-0.22,0.72
21:32:51.361,0.19,-0.32,0.77
21:32:51.572,0.26,0.07,0.93
21:32:51.788,0.15,-0.21,0.91
21:32:51.991,0.20,-0.23,0.85
21:32:52.192,0.14,-0.19,0.93
21:32:52.378,0.14,-0.27,0.97
21:32:52.595,0.29,-0.11,0.95
21:32:52.784,0.30,-0.02,0.94
21:32:52.996,0.09,-0.27,1.07
21:32:53.195,0.10,-0.27,1.18
21:32:53.397,0.12,-0.21,0.94
21:32:53.598,0.16,-0.14,1.13
21:32:53.799,0.12,-0.22,0.89
21:32:54.001,0.09,-0.41,0.96
21:32:54.190,0.07,-0.17,0.98
21:32:54.402,0.17,-0.23,0.83
21:32:54.605,0.13,-0.39,0.89
21:32:54.820,0.12,-0.32,0.89
21:32:55.005,0.23,-0.30,0.91
21:32:55.222,0.20,-0.36,1.05
21:32:55.438,0.24,-0.32,0.90
21:32:55.622,0.19,-0.33,0.99
21:32:55.822,0.23,-0.36,0.97
21:32:56.021,0.23,-0.29,0.90
21:32:56.221,0.22,-0.21,0.93
21:32:56.438,0.11,-0.39,0.96
21:32:56.637,0.27,-0.20,0.98
21:32:56.838,0.19,-0.16,0.89
21:32:57.041,0.17,-0.12,1.03
21:32:57.227,0.22,-0.22,0.91
21:32:57.443,0.23,-0.16,0.84
21:32:57.648,0.18,-0.19,0.89
21:32:57.850,0.25,-0.21,0.85
21:32:58.051,0.28,-0.14,0.95
21:32:58.252,0.29,-0.15,0.89
21:32:58.454,0.23,-0.21,0.99
21:32:58.670,0.26,-0.14,0.91
21:32:58.855,0.21,-0.15,0.99
21:32:59.055,0.25,-0.23,1.07
21:32:59.255,0.27,-0.20,0.87
21:32:59.457,0.20,-0.22,1.00
21:32:59.658,0.27,-0.16,0.96
21:32:59.849,0.27,-0.14,1.02
21:33:00.050,0.24,-0.14,0.95
21:33:00.260,0.26,-0.21,0.87
21:33:00.463,0.25,-0.15,0.98
21:33:00.662,0.21,-0.09,0.96
21:33:00.878,0.22,-0.14,1.01
21:33:01.095,0.21,-0.20,0.94
21:33:01.269,0.20,-0.09,0.98
21:33:01.479,0.24,-0.14,0.93
21:33:01.679,0.20,-0.17,0.98
21:33:01.881,0.16,-0.17,1.12
21:33:02.083,0.25,-0.25,0.85
21:33:02.283,0.23,-0.29,0.96
21:33:02.485,0.14,-0.30,1.10
21:33:02.702,0.29,-0.23,1.03
21:33:02.888,0.15,-0.19,0.93
21:33:03.090,0.22,-0.24,0.91
21:33:03.291,0.17,-0.28,0.98
21:33:03.492,0.19,-0.23,0.95
21:33:03.706,0.17,-0.17,0.91
21:33:03.895,0.14,-0.14,0.93
21:33:04.106,0.08,-0.19,0.95
21:33:04.307,0.08,-0.09,0.88
21:33:04.509,0.18,-0.15,0.99
21:33:04.710,0.16,-0.20,0.91
21:33:04.911,0.27,-0.23,0.97
21:33:05.112,0.25,-0.21,1.01
21:33:05.313,0.23,-0.18,1.02
21:33:05.530,0.25,-0.18,0.96
21:33:05.706,0.21,-0.22,0.96
21:33:05.918,0.21,-0.12,0.92
21:33:06.135,0.23,-0.15,1.01
21:33:06.335,0.28,-0.12,0.98
21:33:06.536,0.25,-0.18,1.02
