time,x,y,z
21:15:51.424,0.24,-0.41,1.02
21:15:51.639,0.07,-0.32,1.05
21:15:51.842,0.23,-0.23,0.98
21:15:52.042,0.17,-0.32,0.89
21:15:52.222,0.14,-0.34,0.82
21:15:52.430,0.25,-0.22,0.99
21:15:52.642,0.21,-0.20,1.02
21:15:52.846,0.15,-0.31,0.78
21:15:53.048,0.11,-0.34,0.93
21:15:53.240,0.11,-0.38,0.98
21:15:53.467,0.13,-0.30,1.02
21:15:53.651,0.24,-0.20,0.89
21:15:53.851,0.18,-0.21,0.89
21:15:54.052,0.26,-0.29,1.02
21:15:54.254,0.15,-0.32,0.96
21:15:54.454,0.16,-0.24,0.96
21:15:54.671,0.17,-0.23,1.02
21:15:54.874,0.21,-0.20,0.94
21:15:55.074,0.17,-0.25,1.15
21:15:55.274,0.15,-0.18,0.88
21:15:55.474,0.21,-0.14,0.98
21:15:55.676,0.19,-0.14,0.94
21:15:55.877,0.17,-0.17,0.88
21:15:56.066,0.19,-0.18,1.05
21:15:56.267,0.16,-0.13,0.95
21:15:56.479,0.18,-0.11,1.08
21:15:56.684,0.16,-0.12,0.96
21:15:56.887,0.20,-0.16,0.94
21:15:57.088,0.13,-0.21,0.91
21:15:57.289,0.25,-0.10,0.95
21:15:57.491,0.16,-0.07,1.09
21:15:57.692,0.18,-0.17,0.98
21:15:57.892,0.26,-0.13,0.97
21:15:58.125,0.15,-0.13,1.05
21:15:58.293,0.14,-0.13,0.86
21:15:58.494,0.11,-0.21,1.02
21:15:58.709,0.11,-0.24,0.98
21:15:58.912,0.14,-0.23,0.94
21:15:59.099,0.17,-0.17,0.87
21:15:59.315,0.18,-0.20,1.03
21:15:59.504,0.11,-0.22,0.93
21:15:59.716,0.09,-0.17,0.96
21:15:59.916,0.11,-0.20,1.01
21:16:00.117,0.14,-0.15,0.94
21:16:00.318,0.11,-0.22,0.99
21:16:00.519,0.17,-0.14,1.01
21:16:00.720,0.12,-0.11,0.95
21:16:00.937,0.11,-0.03,0.90
21:16:01.122,0.06,-0.09,1.04
21:16:01.322,0.14,-0.09,0.87
21:16:01.521,0.14,-0.11,0.91
21:16:01.738,0.11,-0.17,1.05
21:16:01.940,0.05,-0.09,1.00
21:16:02.130,0.06,-0.12,1.00
21:16:02.330,0.06,-0.16,0.93
21:16:02.543,0.10,-0.24,0.83
21:16:02.744,0.09,-0.12,0.99
21:16:02.945,0.09,-0.13,0.97
21:16:03.146,0.09,-0.17,0.86
21:16:03.346,0.14,-0.16,1.06
21:16:03.548,0.16,-0.21,1.02
21:16:03.765,0.13,-0.17,0.91
21:16:03.950,0.19,-0.17,0.95
21:16:04.151,0.12,-0.14,1.01
21:16:04.367,0.11,-0.10,0.94
21:16:04.567,0.19,-0.11,0.96
21:16:04.768,0.14,-0.16,0.91
21:16:04.984,0.19,-0.16,1.00
21:16:05.158,0.09,-0.28,0.82
21:16:05.372,0.16,-0.14,1.00
21:16:05.570,0.19,-0.23,1.02
21:16:05.772,0.20,-0.22,0.80
21:16:05.973,0.20,-0.21,1.11
21:16:06.173,0.22,-0.11,0.97
21:16:06.376,0.14,-0.12,0.94
21:16:06.592,0.23,-0.24,1.06
21:16:06.768,0.13,-0.17,0.87
21:16:06.972,0.17,-0.18,0.94
21:16:07.184,0.16,-0.19,1.03
21:16:07.384,0.19,-0.21,0.85
21:16:07.586,0.15,-0.16,1.02
21:16:07.786,0.05,-0.22,0.87
21:16:08.001,0.16,-0.16,0.99
21:16:08.193,0.20,-0.32,1.03
21:16:08.393,0.16,-0.25,1.05
21:16:08.605,0.10,-0.23,1.06
21:16:08.806,0.12,-0.28,0.81
21:16:09.007,0.16,-0.35,0.91
21:16:09.208,0.17,-0.27,1.02
21:16:09.411,0.21,-0.27,0.90
21:16:09.612,0.18,-0.23,1.09
21:16:09.816,0.11,-0.23,1.12
21:16:10.004,0.13,-0.33,0.88
21:16:10.221,0.20,-0.26,0.99
21:16:10.417,0.15,-0.27,0.89
21:16:10.618,0.17,-0.32,0.95
21:16:10.819,0.13,-0.35,0.97
21:16:11.020,0.14,-0.25,0.90
21:16:11.237,0.15,-0.29,0.91
21:16:11.424,0.18,-0.29,0.88
21:16:11.628,0.15,-0.20,0.94
21:16:11.831,0.15,-0.33,0.96
21:16:12.043,0.16,-0.25,1.00
21:16:12.245,0.20,-0.24,0.92
21:16:12.445,0.14,-0.22,1.05
21:16:12.645,0.20,-0.21,0.91
21:16:12.846,0.09,-0.27,0.98
21:16:13.047,0.18,-0.11,0.90
21:16:13.238,0.28,-0.23,0.95
21:16:13.441,0.17,-0.20,1.03
21:16:13.649,0.19,-0.17,0.99
21:16:13.849,0.18,-0.27,0.96
21:16:14.064,0.14,-0.25,0.93
21:16:14.254,0.11,0.02,1.04
21:16:14.455,0.19,-0.29,0.87
21:16:14.658,0.09,-0.16,1.02
21:16:14.868,0.21,-0.16,0.87
21:16:15.068,0.18,-0.24,0.88
21:16:15.268,0.21,-0.24,0.88
21:16:15.485,0.21,-0.12,1.24
21:16:15.662,0.21,-0.16,0.91
21:16:15.869,0.27,-0.18,1.14
21:16:16.085,0.20,-0.20,0.97
21:16:16.286,0.10,-0.23,1.02
21:16:16.487,0.21,-0.14,1.01
21:16:16.690,0.27,-0.17,0.75
21:16:16.906,0.20,-0.31,1.04
21:16:17.091,0.23,-0.26,0.92
21:16:17.291,0.17,-0.23,0.90
21:16:17.493,0.18,-0.27,0.91
21:16:17.694,0.17,-0.13,0.73
21:16:17.893,0.25,-0.15,0.97
21:16:18.094,0.21,-0.23,0.86
21:16:18.311,0.19,-0.30,0.93
21:16:18.496,0.25,-0.32,1.04
21:16:18.712,0.36,-0.09,0.94
21:16:18.912,0.20,-0.12,0.70
21:16:19.112,0.20,-0.21,0.99
21:16:19.315,0.26,-0.11,1.03
21:16:19.517,0.11,-0.17,0.98
21:16:19.723,0.24,-0.08,0.95
