time,x,y,z
22:03:00.286,0.23,-0.33,1.05
22:03:00.488,0.06,-0.19,0.80
22:03:00.690,0.12,-0.12,0.98
22:03:00.896,0.25,-0.23,0.76
22:03:01.097,0.11,-0.06,0.88
22:03:01.309,0.17,-0.09,1.09
22:03:01.501,0.52,-0.47,0.92
22:03:01.711,0.14,-0.11,0.91
22:03:01.912,0.26,-0.14,0.81
22:03:02.113,0.19,-0.33,0.82
22:03:02.313,-0.00,-0.37,0.93
22:03:02.503,0.11,0.03,1.06
22:03:02.715,0.05,-0.10,0.96
22:03:02.916,0.12,-0.11,0.91
22:03:03.115,0.13,-0.10,1.00
22:03:03.331,0.19,-0.19,1.18
22:03:03.519,-0.00,-0.29,0.81
22:03:03.730,0.06,-0.02,1.12
22:03:03.930,0.02,-0.30,1.14
22:03:04.133,0.19,-0.13,1.30
22:03:04.334,0.09,-0.20,0.89
22:03:04.535,0.21,-0.12,0.97
22:03:04.735,0.23,-0.34,0.97
22:03:04.924,0.11,-0.21,0.77
22:03:05.136,0.16,-0.12,1.11
22:03:05.337,0.14,-0.18,1.14
22:03:05.538,0.00,-0.19,0.96
22:03:05.754,0.13,-0.14,0.86
22:03:05.954,0.00,-0.32,1.04
22:03:06.143,0.07,-0.25,0.99
22:03:06.346,0.08,-0.13,0.86
22:03:06.557,0.23,-0.28,0.65
22:03:06.759,0.14,-0.41,1.14
22:03:06.959,0.12,-0.25,1.19
22:03:07.159,-0.01,-0.17,1.02
22:03:07.362,0.08,-0.20,0.94
22:03:07.577,0.10,-0.15,1.07
22:03:07.763,0.18,-0.20,1.12
22:03:07.964,0.18,-0.29,0.90
22:03:08.166,0.12,-0.26,0.97
22:03:08.382,0.13,-0.21,0.98
22:03:08.583,0.18,-0.22,0.91
22:03:08.785,0.18,-0.29,0.93
22:03:08.989,0.21,-0.32,0.93
22:03:09.192,0.15,-0.30,0.88
22:03:09.379,0.20,-0.25,0.96
22:03:09.625,0.23,-0.25,0.93
22:03:09.785,0.19,-0.16,0.90
22:03:09.995,0.16,-0.23,1.08
22:03:10.196,0.15,-0.21,0.98
22:03:10.396,0.19,-0.25,1.00
22:03:10.597,0.17,-0.25,1.00
22:03:10.813,0.10,-0.25,0.85
22:03:10.987,0.16,-0.32,1.07
22:03:11.198,0.22,-0.23,0.93
22:03:11.399,0.12,-0.37,1.02
22:03:11.600,0.14,-0.36,0.89
22:03:11.814,0.17,-0.33,0.91
22:03:12.004,0.11,-0.36,1.09
22:03:12.206,0.19,-0.30,1.04
22:03:12.416,0.21,-0.27,0.95
22:03:12.616,0.16,-0.30,0.91
22:03:12.818,0.15,-0.30,0.98
22:03:13.019,0.13,-0.36,0.80
22:03:13.221,0.19,-0.40,0.97
22:03:13.423,0.14,-0.42,0.89
22:03:13.639,0.17,-0.43,0.96
22:03:13.823,0.15,-0.39,0.89
22:03:14.023,0.13,-0.28,0.90
22:03:14.238,0.07,-0.32,1.00
22:03:14.439,0.11,-0.20,0.84
22:03:14.629,0.11,-0.18,0.98
22:03:14.830,0.18,-0.23,1.00
22:03:15.042,0.11,-0.22,0.86
22:03:15.242,0.14,-0.27,1.07
22:03:15.443,0.16,-0.27,0.81
22:03:15.642,0.13,-0.20,0.91
22:03:15.859,0.10,-0.32,0.88
22:03:16.059,0.16,-0.23,0.80
22:03:16.260,0.05,-0.54,0.96
22:03:16.460,0.15,-0.47,0.82
22:03:16.660,0.18,-0.37,0.95
22:03:16.876,0.12,-0.42,0.90
22:03:17.049,0.15,-0.52,0.97
22:03:17.260,0.14,-0.39,0.96
22:03:17.460,0.06,-0.48,0.98
22:03:17.661,0.13,-0.41,0.88
22:03:17.861,0.15,-0.43,0.89
22:03:18.094,0.14,-0.44,0.89
22:03:18.268,0.15,-0.48,0.90
22:03:18.480,0.20,-0.45,0.92
22:03:18.680,0.28,-0.38,0.92
22:03:18.882,0.20,-0.44,0.90
22:03:19.087,0.21,-0.39,0.96
22:03:19.288,0.17,-0.45,0.96
22:03:19.489,0.24,-0.27,1.02
22:03:19.691,0.11,-0.54,0.99
22:03:19.892,0.18,-0.40,0.91
22:03:20.083,0.22,-0.36,0.90
22:03:20.294,0.20,-0.30,1.09
22:03:20.488,0.27,-0.56,0.98
22:03:20.696,-0.04,-0.41,0.85
22:03:20.897,0.25,-0.51,0.89
22:03:21.098,0.28,-0.47,0.88
22:03:21.300,0.23,-0.50,0.98
22:03:21.501,0.29,-0.28,0.81
22:03:21.708,0.20,-0.45,1.00
22:03:21.919,0.30,-0.54,0.89
22:03:22.119,0.24,-0.41,0.92
22:03:22.319,0.23,-0.32,1.09
22:03:22.522,0.20,-0.22,0.82
22:03:22.723,0.33,-0.24,0.80
22:03:22.937,0.22,-0.22,0.94
22:03:23.111,0.27,-0.21,0.99
22:03:23.323,0.27,-0.22,0.89
22:03:23.522,0.27,-0.17,0.96
22:03:23.738,0.32,-0.04,0.78
22:03:23.939,0.21,-0.09,1.14
22:03:24.156,0.21,-0.13,1.07
22:03:24.340,0.23,-0.05,0.78
22:03:24.540,0.27,-0.04,0.80
22:03:24.741,0.24,0.02,0.93
22:03:24.944,0.27,-0.01,1.02
22:03:25.144,0.23,-0.03,0.96
22:03:25.344,0.22,-0.07,0.90
22:03:25.533,0.17,-0.15,0.93
22:03:25.745,0.27,-0.09,0.81
22:03:25.947,0.22,-0.10,1.11
22:03:26.148,0.28,-0.08,1.00
22:03:26.365,0.27,-0.18,0.98
22:03:26.552,0.23,-0.21,0.89
22:03:26.754,0.24,-0.19,1.10
22:03:26.970,0.26,-0.17,1.02
22:03:27.173,0.24,-0.17,0.86
22:03:27.362,0.23,-0.21,1.15
22:03:27.565,0.18,-0.30,0.91
22:03:27.777,0.37,-0.14,1.01
22:03:27.977,0.25,-0.27,0.80
22:03:28.178,0.31,-0.24,0.95
22:03:28.380,0.30,-0.21,0.96
22:03:28.581,0.20,-0.21,1.03
22:03:28.797,0.23,-0.15,0.94
22:03:28.985,0.26,-0.14,0.97
22:03:29.188,0.17,-0.16,0.90
22:03:29.377,0.31,-0.24,0.96
