time,x,y,z
21:26:00.808,0.11,-0.17,0.55
21:26:01.009,0.20,-0.45,0.68
21:26:01.210,0.28,-0.10,1.21
21:26:01.410,0.10,-0.18,0.48
21:26:01.610,0.38,-0.00,1.29
21:26:01.829,0.31,-0.21,1.15
21:26:02.019,0.27,-0.04,1.00
21:26:02.232,0.35,-0.16,1.31
21:26:02.418,0.07,-0.14,1.23
21:26:02.619,0.26,-0.24,0.91
21:26:02.835,0.24,-0.12,0.98
21:26:03.035,0.25,-0.14,1.16
21:26:03.236,0.57,-0.25,0.99
21:26:03.426,0.33,0.03,0.49
21:26:03.636,0.51,-0.12,0.75
21:26:03.837,0.25,-0.34,1.08
21:26:04.037,0.13,0.00,0.96
21:26:04.238,0.04,-0.19,0.91
21:26:04.438,0.06,-0.09,0.64
21:26:04.646,0.37,-0.23,0.94
21:26:04.847,0.01,-0.34,0.52
21:26:05.057,0.29,0.05,1.42
21:26:05.243,0.35,-0.23,0.68
21:26:05.459,0.27,-0.05,1.25
21:26:05.660,0.38,-0.36,1.27
21:26:05.860,-0.14,-0.09,0.96
21:26:06.050,0.01,-0.36,0.89
21:26:06.261,0.12,-0.35,1.02
21:26:06.462,0.14,-0.07,0.96
21:26:06.662,0.40,-0.29,1.23
21:26:06.864,0.21,-0.12,1.02
21:26:07.066,0.32,-0.04,0.87
21:26:07.272,0.26,-0.39,1.20
21:26:07.476,0.23,-0.19,1.27
21:26:07.676,0.07,-0.23,0.73
21:26:07.876,0.09,-0.22,0.80
21:26:08.093,0.36,-0.12,0.93
21:26:08.278,0.17,-0.11,0.88
21:26:08.480,0.12,-0.09,1.07
21:26:08.696,0.22,-0.27,0.71
21:26:08.898,0.20,-0.05,1.08
21:26:09.097,0.02,-0.18,1.37
21:26:09.312,-0.20,-0.57,1.05
21:26:09.497,0.27,-0.25,0.45
21:26:09.699,0.39,-0.23,0.82
21:26:09.899,0.23,-0.20,0.71
21:26:10.100,0.24,-0.20,0.89
21:26:10.299,0.03,-0.37,0.75
21:26:10.501,0.07,-0.10,0.60
21:26:10.706,0.33,-0.21,1.03
21:26:10.917,0.11,-0.23,1.10
21:26:11.118,0.21,-0.18,0.54
21:26:11.318,0.16,-0.23,0.89
21:26:11.519,0.40,-0.16,0.52
21:26:11.734,0.27,-0.26,1.08
21:26:11.909,0.14,-0.25,1.20
21:26:12.120,0.48,-0.15,1.29
21:26:12.322,0.22,-0.28,0.79
21:26:12.523,0.05,0.04,0.66
21:26:12.723,0.21,0.09,1.33
21:26:12.954,0.15,-0.11,1.16
21:26:13.129,0.06,-0.57,0.75
21:26:13.339,0.19,-0.17,0.86
