time,x,y,z
20:32:40.301,0.07,-0.16,0.94
20:32:40.512,0.07,-0.19,0.98
20:32:40.713,0.10,-0.22,0.99
20:32:40.913,0.09,-0.20,0.98
20:32:41.116,0.07,-0.18,0.94
20:32:41.319,0.07,-0.18,0.95
20:32:41.519,0.06,-0.18,0.96
20:32:41.720,0.11,-0.18,0.97
20:32:41.936,0.09,-0.14,0.94
20:32:42.137,0.08,-0.18,0.95
20:32:42.339,0.09,-0.20,0.96
20:32:42.538,0.09,-0.17,0.95
20:32:42.740,0.07,-0.18,0.95
20:32:42.940,0.07,-0.16,0.96
20:32:43.157,0.07,-0.15,0.94
20:32:43.332,0.09,-0.18,0.95
20:32:43.533,0.08,-0.18,0.97
20:32:43.745,0.07,-0.18,0.96
20:32:43.947,0.09,-0.14,0.93
20:32:44.147,0.07,-0.20,0.97
20:32:44.347,0.07,-0.18,0.96
20:32:44.562,0.07,-0.15,0.95
20:32:44.763,0.08,-0.21,1.00
20:32:44.965,0.07,-0.16,0.96
20:32:45.153,0.08,-0.18,0.95
20:32:45.355,0.08,-0.21,0.98
20:32:45.550,0.07,-0.18,0.98
20:32:45.771,0.07,-0.20,0.98
20:32:45.958,0.08,-0.20,0.98
20:32:46.175,0.07,-0.19,0.97
20:32:46.376,0.09,-0.16,0.94
20:32:46.568,0.08,-0.21,0.99
20:32:46.768,0.08,-0.19,0.97
20:32:46.973,0.10,-0.19,0.96
20:32:47.179,0.07,-0.16,0.95
20:32:47.379,0.09,-0.19,0.96
20:32:47.581,0.08,-0.20,0.98
20:32:47.782,0.08,-0.23,0.99
20:32:47.998,0.08,-0.16,0.96
20:32:48.192,0.07,-0.15,0.93
20:32:48.399,0.07,-0.18,0.95
20:32:48.598,0.07,-0.20,0.98
20:32:48.799,0.07,-0.18,0.96
20:32:48.987,0.08,-0.19,0.97
20:32:49.190,0.09,-0.18,0.95
20:32:49.401,0.07,-0.18,0.95
20:32:49.604,0.08,-0.16,0.95
20:32:49.803,0.09,-0.18,0.96
20:32:50.004,0.08,-0.21,0.99
20:32:50.206,0.09,-0.18,0.95
20:32:50.422,0.08,-0.18,0.95
20:32:50.622,0.09,-0.19,0.97
20:32:50.821,0.08,-0.18,0.96
20:32:51.023,0.08,-0.18,0.96
20:32:51.225,0.08,-0.16,0.93
20:32:51.412,0.08,-0.17,0.94
20:32:51.628,0.07,-0.17,0.96
20:32:51.816,0.08,-0.17,0.96
20:32:52.019,0.08,-0.20,0.98
20:32:52.229,0.09,-0.19,0.96
20:32:52.431,0.08,-0.20,0.96
20:32:52.632,0.09,-0.22,0.98
20:32:52.833,0.07,-0.18,0.96
20:32:53.034,0.08,-0.18,0.96
20:32:53.236,0.10,-0.16,0.93
20:32:53.453,0.07,-0.19,0.96
20:32:53.654,0.08,-0.17,0.95
20:32:53.848,0.09,-0.18,0.98
20:32:54.056,0.08,-0.18,0.96
20:32:54.256,0.11,-0.16,0.94
20:32:54.458,0.09,-0.18,0.95
20:32:54.659,0.09,-0.20,0.99
20:32:54.874,0.09,-0.22,0.98
