time,x,y,z
20:36:59.546,0.18,-0.32,1.11
20:36:59.741,0.20,-0.23,0.94
20:36:59.947,0.23,-0.26,0.90
20:37:00.149,0.12,-0.25,0.99
20:37:00.353,0.16,-0.24,0.95
20:37:00.553,0.19,-0.25,0.95
20:37:00.752,0.20,-0.15,0.97
20:37:00.956,0.21,-0.19,0.97
20:37:01.173,0.29,-0.25,1.08
20:37:01.347,0.22,-0.11,0.87
20:37:01.557,0.19,-0.11,0.86
20:37:01.758,0.20,-0.16,0.85
20:37:01.961,0.20,-0.24,1.03
20:37:02.161,0.21,-0.18,0.95
20:37:02.363,0.24,-0.13,0.91
20:37:02.563,0.00,-0.20,0.93
20:37:02.753,0.03,-0.19,1.01
20:37:02.965,0.02,-0.24,0.99
20:37:03.166,0.04,-0.22,0.93
20:37:03.370,0.06,-0.21,0.95
20:37:03.571,0.05,-0.14,0.93
20:37:03.787,0.11,-0.17,0.98
20:37:03.986,0.14,-0.19,0.93
20:37:04.192,0.16,-0.11,0.89
20:37:04.403,0.17,-0.20,0.91
20:37:04.587,0.19,-0.10,0.86
20:37:04.788,0.19,-0.19,0.99
20:37:04.988,0.14,-0.16,0.90
20:37:05.204,0.21,-0.14,0.91
20:37:05.393,0.22,-0.14,1.00
20:37:05.595,0.13,-0.18,0.82
20:37:05.811,0.19,-0.07,0.89
20:37:05.996,0.19,-0.18,1.03
20:37:06.197,0.19,-0.05,0.81
20:37:06.413,0.21,-0.16,0.98
20:37:06.599,0.16,-0.13,0.93
20:37:06.815,0.14,-0.19,0.96
20:37:07.031,0.25,-0.15,0.91
20:37:07.207,0.19,-0.09,0.92
20:37:07.419,0.25,-0.14,1.01
20:37:07.620,0.26,-0.06,0.95
20:37:07.820,0.14,-0.17,0.92
20:37:08.022,0.18,-0.26,0.99
20:37:08.223,0.27,-0.14,0.94
20:37:08.423,0.27,-0.13,1.07
20:37:08.614,0.34,-0.11,1.00
20:37:08.842,0.20,-0.23,0.94
20:37:09.028,0.29,-0.14,1.08
20:37:09.228,0.18,-0.23,0.94
20:37:09.445,0.18,-0.16,0.97
20:37:09.645,0.11,-0.18,0.98
20:37:09.846,0.16,-0.18,0.99
20:37:10.063,0.21,-0.29,0.95
20:37:10.248,0.20,-0.07,0.92
20:37:10.449,0.13,-0.25,1.05
20:37:10.648,0.23,-0.20,0.97
20:37:10.850,0.18,-0.21,0.93
20:37:11.050,0.15,-0.15,0.98
20:37:11.265,0.18,-0.22,0.93
20:37:11.467,0.17,-0.16,0.99
20:37:11.668,0.20,-0.18,0.96
20:37:11.869,0.10,-0.18,0.98
20:37:12.065,0.20,-0.30,0.92
20:37:12.269,0.13,-0.18,0.88
20:37:12.458,0.20,-0.17,0.90
20:37:12.660,0.15,-0.13,0.96
20:37:12.871,0.21,-0.20,1.08
20:37:13.071,0.21,-0.13,1.00
20:37:13.273,0.19,-0.23,1.00
20:37:13.475,0.09,-0.15,0.96
20:37:13.674,0.16,-0.24,1.03
20:37:13.878,0.15,-0.21,0.95
20:37:14.080,0.18,-0.09,1.05
20:37:14.293,0.16,-0.10,0.90
20:37:14.471,0.14,-0.20,0.98
20:37:14.694,0.16,-0.04,0.99
20:37:14.895,0.13,-0.16,0.91
20:37:15.095,0.18,-0.16,1.03
20:37:15.299,0.12,-0.10,0.95
20:37:15.504,0.19,-0.05,0.97
20:37:15.707,0.18,-0.23,1.07
20:37:15.892,0.13,-0.24,0.87
20:37:16.097,0.12,-0.23,0.87
20:37:16.299,0.18,-0.23,0.91
20:37:16.512,0.14,-0.23,0.96
20:37:16.712,0.12,-0.14,0.93
20:37:16.914,0.15,-0.23,0.94
20:37:17.116,0.25,-0.20,0.94
20:37:17.315,0.22,-0.26,0.96
20:37:17.505,0.14,-0.14,0.93
20:37:17.707,0.15,-0.27,0.96
20:37:17.918,0.12,-0.21,0.89
20:37:18.120,0.06,-0.20,1.02
20:37:18.316,0.13,-0.21,0.97
20:37:18.523,0.09,-0.19,0.95
20:37:18.723,0.05,-0.18,1.04
20:37:18.940,0.03,-0.21,1.01
20:37:19.157,0.11,-0.21,0.97
20:37:19.341,0.15,-0.20,0.99
20:37:19.533,0.12,-0.27,0.95
20:37:19.744,0.25,-0.10,0.93
20:37:19.945,0.12,-0.12,0.89
20:37:20.145,0.20,-0.11,0.90
20:37:20.348,0.20,-0.20,0.93
20:37:20.548,0.14,-0.18,0.89
20:37:20.738,0.17,-0.15,0.97
20:37:20.950,0.18,-0.09,0.92
20:37:21.150,0.19,-0.25,0.98
20:37:21.351,0.11,-0.21,0.89
20:37:21.553,0.04,-0.20,0.91
20:37:21.769,0.01,-0.18,0.91
20:37:21.955,0.02,-0.20,0.86
20:37:22.159,0.04,-0.18,1.02
20:37:22.361,0.01,-0.21,0.93
20:37:22.574,0.03,-0.17,0.96
20:37:22.776,0.11,-0.19,0.89
20:37:22.976,0.18,-0.25,1.05
20:37:23.176,0.23,-0.19,1.01
20:37:23.376,0.20,-0.14,0.88
20:37:23.565,0.14,-0.24,0.96
20:37:23.776,0.14,-0.30,0.95
20:37:23.991,0.16,-0.16,0.97
20:37:24.191,0.16,-0.14,0.89
20:37:24.407,0.18,-0.21,1.02
20:37:24.583,0.18,-0.20,0.89
20:37:24.791,0.10,-0.11,0.93
20:37:24.992,0.18,-0.22,0.93
20:37:25.192,0.18,-0.08,0.92
20:37:25.398,0.12,-0.19,1.04
20:37:25.600,0.16,-0.12,1.03
20:37:25.800,0.12,-0.20,1.01
