time,x,y,z
17:11:51.419,0.25,-0.32,0.62
17:11:51.419,-0.07,0.14,0.96
17:11:51.419,0.27,-0.05,0.60
17:11:51.419,0.37,-0.74,1.67
17:11:51.419,0.23,0.28,1.39
17:11:51.419,0.53,0.81,1.54
17:11:51.419,0.73,-0.50,0.95
17:11:51.445,0.06,-0.19,0.99
17:11:51.487,-0.30,-0.37,1.52
17:11:51.487,-0.70,-0.16,0.52
17:11:51.510,-0.63,0.03,0.86
17:11:51.544,-0.32,-0.85,0.69
17:11:51.577,-0.43,-0.07,0.66
17:11:51.610,0.20,-0.27,0.90
17:11:51.651,-0.41,-0.15,1.69
17:11:51.685,-0.45,-0.29,0.10
17:11:51.716,-0.05,-0.54,0.52
17:11:51.743,0.33,-1.23,0.61
17:11:51.779,-0.28,-0.09,1.36
17:11:51.818,-0.21,0.12,1.26
17:11:51.844,-0.20,0.17,0.99
17:11:51.881,0.00,0.19,1.34
17:11:51.918,0.41,-0.69,0.39
17:11:51.945,-0.06,0.15,1.08
17:11:51.976,-0.10,0.15,1.23
17:11:52.009,-0.80,-0.34,0.81
17:11:52.043,-0.00,-0.35,1.21
17:11:52.077,-0.18,0.01,0.96
17:11:52.118,-0.16,-0.08,0.11
17:11:52.118,0.57,0.61,0.32
17:11:52.151,0.42,-0.47,0.83
17:11:52.181,0.13,-0.46,0.59
17:11:52.208,-0.16,-0.53,0.66
17:11:52.243,0.36,-0.16,1.22
17:11:52.276,1.01,0.83,0.89
17:11:52.309,-0.07,0.18,0.84
17:11:52.343,0.15,0.03,0.77
17:11:52.375,-0.19,-0.46,0.38
17:11:52.408,-0.48,0.07,0.77
17:11:52.441,0.05,-0.14,0.71
17:11:52.475,0.49,0.40,1.40
17:11:52.508,0.79,-0.18,1.22
17:11:52.542,-0.05,-0.54,0.66
17:11:52.575,0.05,-0.42,0.37
17:11:52.608,-0.51,-0.22,0.96
17:11:52.608,0.25,-0.30,0.96
17:11:52.642,0.09,-0.35,1.49
17:11:52.675,-0.25,-0.13,1.94
17:11:52.708,0.09,0.20,0.48
17:11:52.742,0.19,0.21,0.66
17:11:52.775,-0.02,-0.62,1.15
17:11:52.808,-0.77,0.20,1.29
17:11:52.842,-0.19,0.16,1.44
17:11:52.875,-0.26,-0.25,1.00
17:11:52.908,0.77,0.60,1.24
17:11:52.942,0.34,0.71,1.80
17:11:52.975,0.79,0.27,1.24
17:11:53.008,-0.62,0.39,1.59
17:11:53.043,-0.14,-0.09,1.59
17:11:53.075,-0.15,0.01,0.99
17:11:53.075,0.35,0.12,0.73
