time,x,y,z
17:28:42.993,-0.20,-0.22,0.94
17:28:42.993,-0.19,-0.09,0.95
17:28:42.993,0.18,-0.13,0.93
17:28:42.993,-0.07,-0.06,0.98
17:28:43.010,-0.08,-0.14,0.86
17:28:43.039,0.01,-0.16,0.93
17:28:43.084,-0.16,-0.02,0.75
17:28:43.105,0.02,-0.18,0.92
17:28:43.138,-0.22,-0.10,0.87
17:28:43.138,-0.06,-0.03,0.87
17:28:43.175,0.10,-0.12,1.09
17:28:43.207,-0.10,-0.10,0.91
17:28:43.240,-0.04,-0.11,0.88
17:28:43.274,-0.07,-0.09,0.92
17:28:43.304,0.02,-0.08,1.09
17:28:43.339,0.00,-0.07,1.01
17:28:43.373,0.02,-0.09,1.03
17:28:43.406,-0.29,-0.02,1.01
17:28:43.438,-0.13,-0.14,1.37
17:28:43.472,-0.27,-0.05,0.95
17:28:43.507,-0.14,-0.11,0.95
17:28:43.543,0.06,0.02,0.80
17:28:43.570,-0.00,0.11,0.90
17:28:43.606,-0.18,-0.04,0.85
17:28:43.640,0.57,-0.32,0.41
17:28:43.673,0.03,-0.24,0.62
17:28:43.703,-0.21,-0.08,1.10
17:28:43.743,-0.04,-0.25,0.59
17:28:43.776,-0.05,-0.48,0.88
17:28:43.806,-0.12,-0.08,0.83
17:28:43.840,-0.17,-0.25,0.74
17:28:43.870,-0.11,-0.19,0.93
17:28:43.870,-0.09,-0.32,0.68
17:28:43.904,-0.22,0.03,0.95
17:28:43.943,-0.16,-0.18,0.95
17:28:43.976,0.07,-0.26,1.02
17:28:44.007,-0.21,-0.24,0.78
17:28:44.040,-0.12,-0.16,1.05
17:28:44.070,0.09,-0.09,1.07
17:28:44.103,-0.01,-0.10,0.98
17:28:44.143,0.03,-0.40,1.11
17:28:44.176,-0.07,-0.06,1.28
17:28:44.206,-0.04,-0.30,1.12
17:28:44.239,-0.14,-0.04,0.63
17:28:44.273,0.04,-0.01,0.84
17:28:44.303,0.07,0.04,0.92
17:28:44.335,0.01,-0.28,0.57
17:28:44.375,-0.21,-0.23,1.08
17:28:44.407,-0.02,-0.07,1.01
17:28:44.440,0.08,0.14,1.02
17:28:44.471,0.17,0.04,0.78
17:28:44.503,-0.01,-0.14,1.20
17:28:44.503,0.09,-0.18,0.80
17:28:44.540,-0.43,-0.47,0.91
17:28:44.569,-0.07,-0.49,0.98
17:28:44.605,-0.27,-0.43,0.91
17:28:44.635,-0.09,-0.17,1.02
17:28:44.668,0.26,0.03,1.22
17:28:44.703,-0.17,-0.12,0.97
17:28:44.734,0.37,0.17,0.61
17:28:44.776,0.12,-0.16,1.09
17:28:44.809,-0.28,0.02,1.28
17:28:44.834,-0.32,-0.24,1.20
17:28:44.873,-0.25,-0.30,1.02
17:28:44.902,0.16,-0.30,0.52
17:28:44.936,-0.26,-0.24,0.57
17:28:44.968,0.05,-0.16,1.02
17:28:45.006,-0.19,0.43,0.88
17:28:45.038,-0.06,-0.05,0.98
17:28:45.068,0.18,0.00,0.94
17:28:45.101,-0.14,-0.02,0.94
17:28:45.134,-0.18,-0.41,0.91
17:28:45.134,-0.20,-0.10,0.96
17:28:45.168,-0.41,-0.33,1.05
17:28:45.201,0.17,-0.13,0.86
17:28:45.234,-0.45,0.13,1.14
17:28:45.276,0.02,-0.16,1.18
17:28:45.310,-0.12,-0.24,1.03
17:28:45.333,-0.34,-0.07,1.17
17:28:45.373,0.14,-0.05,0.96
17:28:45.406,0.07,-0.17,1.00
17:28:45.433,-0.12,0.16,0.73
17:28:45.469,0.22,-0.07,0.75
17:28:45.500,0.07,-0.25,0.84
17:28:45.533,-0.19,-0.24,0.92
17:28:45.575,-0.33,-0.22,0.83
17:28:45.606,0.08,-0.09,0.91
17:28:45.634,0.02,-0.13,0.84
17:28:45.669,0.00,-0.29,0.88
17:28:45.700,-0.27,-0.11,0.87
17:28:45.735,-0.07,-0.18,1.03
17:28:45.768,-0.26,0.00,1.14
17:28:45.768,-0.46,-0.02,0.79
17:28:45.801,0.14,-0.09,0.94
17:28:45.834,0.02,-0.37,1.04
17:28:45.868,0.18,-0.05,0.98
17:28:45.900,-0.34,-0.02,0.52
17:28:45.934,0.37,0.01,0.96
17:28:45.968,-0.34,-0.16,1.20
17:28:46.000,-0.14,-0.06,1.07
17:28:46.034,0.29,-0.20,0.88
17:28:46.068,0.03,-0.41,1.25
17:28:46.100,0.05,-0.14,0.93
17:28:46.134,0.47,-0.13,1.18
17:28:46.168,0.16,0.10,1.08
17:28:46.200,-0.19,-0.02,1.01
17:28:46.240,-0.30,-0.07,1.12
17:28:46.266,-0.68,-0.11,0.67
17:28:46.299,0.07,-0.16,1.00
17:28:46.333,-0.27,-0.29,1.20
17:28:46.367,0.27,-0.04,1.07
17:28:46.367,-0.03,-0.09,1.14
17:28:46.399,-0.14,-0.02,1.16
17:28:46.433,-0.61,-0.34,1.04
17:28:46.467,-0.49,-0.54,1.14
17:28:46.500,0.10,-0.13,1.02
17:28:46.533,-0.34,-0.02,1.11
17:28:46.567,0.18,0.02,1.22
