time,x,y,z
17:17:59.417,0.06,-0.62,0.98
17:17:59.417,0.28,-0.22,1.11
17:17:59.417,-0.11,0.07,0.84
17:17:59.417,-0.12,-0.05,0.93
17:17:59.417,0.45,0.04,0.95
17:17:59.417,-0.20,-0.11,0.70
17:17:59.443,-0.24,-0.50,0.85
17:17:59.477,-0.09,0.04,1.25
17:17:59.513,-0.15,-0.20,0.97
17:17:59.546,0.37,0.15,0.89
17:17:59.576,-0.44,0.20,1.11
17:17:59.610,0.14,0.11,0.97
17:17:59.643,-0.04,-0.30,0.86
17:17:59.677,-0.23,-0.28,0.70
17:17:59.710,0.15,-0.71,0.68
17:17:59.710,-0.34,0.04,0.96
17:17:59.743,-0.48,0.24,1.11
17:17:59.780,0.08,-0.08,0.45
17:17:59.810,0.15,0.12,0.81
17:17:59.843,0.69,-0.17,1.57
17:17:59.877,-0.17,0.25,0.87
17:17:59.909,0.19,-0.03,0.98
17:17:59.943,-0.05,0.06,0.93
17:17:59.977,0.29,0.20,1.43
17:18:00.010,0.04,0.06,0.44
17:18:00.046,0.80,-0.08,0.63
17:18:00.080,0.10,-0.33,1.04
17:18:00.110,0.04,-0.40,1.30
17:18:00.143,0.33,-0.16,1.42
17:18:00.180,-0.11,-0.14,1.12
17:18:00.180,0.09,-0.26,0.87
17:18:00.213,-0.18,0.30,0.90
17:18:00.243,0.49,0.07,0.16
17:18:00.277,0.08,-0.96,0.34
17:18:00.314,-0.43,0.03,0.58
17:18:00.346,-0.02,-0.08,1.66
17:18:00.377,0.22,0.64,1.02
17:18:00.410,0.09,0.06,0.34
17:18:00.443,-0.02,-0.59,0.57
17:18:00.476,0.81,0.03,1.33
17:18:00.508,0.18,0.81,1.37
17:18:00.541,-0.29,0.00,1.00
17:18:00.576,0.18,-0.20,0.62
17:18:00.609,0.15,-0.25,0.82
17:18:00.643,0.59,-0.48,0.99
17:18:00.643,-0.24,0.38,0.96
17:18:00.676,0.41,0.43,1.34
17:18:00.708,-0.11,-0.16,0.85
17:18:00.746,-0.26,-0.00,1.28
17:18:00.773,-0.01,-0.08,0.86
17:18:00.809,0.11,-0.04,1.17
17:18:00.846,0.01,-0.45,0.64
17:18:00.874,-0.37,0.18,0.89
17:18:00.909,0.19,-0.46,1.46
17:18:00.946,0.05,0.13,1.59
17:18:00.980,0.03,-0.39,1.11
17:18:01.010,-0.09,0.09,0.92
17:18:01.043,-0.17,0.00,0.24
17:18:01.073,0.15,-0.50,0.53
17:18:01.106,0.08,-0.26,1.08
17:18:01.143,0.54,-0.26,0.70
17:18:01.143,0.07,-0.38,1.20
17:18:01.177,-0.83,0.32,1.09
17:18:01.210,-0.61,-0.39,1.17
17:18:01.239,0.09,-0.45,1.23
17:18:01.273,0.39,0.08,0.95
17:18:01.305,-0.02,-0.41,1.64
17:18:01.340,0.69,0.07,1.50
17:18:01.373,-0.33,0.08,1.27
17:18:01.405,0.22,-0.53,0.46
17:18:01.440,-0.28,-0.19,0.78
17:18:01.480,-0.51,0.19,0.99
17:18:01.513,0.11,0.31,1.00
17:18:01.541,0.35,-0.34,1.49
17:18:01.576,-0.55,0.06,1.84
17:18:01.611,0.24,0.35,0.92
17:18:01.643,-0.20,-0.11,1.45
17:18:01.673,-0.45,-0.39,0.81
17:18:01.673,-0.00,0.43,0.66
17:18:01.705,-0.61,-0.11,1.59
17:18:01.744,-0.83,0.03,0.82
17:18:01.777,0.06,-0.32,0.73
17:18:01.805,0.22,-0.47,0.58
17:18:01.840,-0.30,-0.04,0.84
17:18:01.870,-0.75,-0.24,1.38
17:18:01.904,0.09,-0.38,1.19
17:18:01.938,0.31,0.14,0.14
17:18:01.971,0.29,-0.08,0.64
17:18:02.004,-0.29,-0.02,0.32
17:18:02.037,-0.45,-0.00,0.96
17:18:02.070,-0.75,-0.04,1.17
17:18:02.104,0.05,-0.18,0.58
17:18:02.137,0.07,-0.12,0.61
17:18:02.170,-0.13,0.22,1.13
17:18:02.203,-0.15,0.66,1.11
17:18:02.237,0.66,0.46,1.34
17:18:02.237,0.41,0.80,1.11
17:18:02.270,0.57,0.15,1.16
17:18:02.304,-0.26,0.11,0.86
17:18:02.337,-0.34,-0.29,0.65
17:18:02.370,0.27,-0.48,0.46
17:18:02.404,0.46,-0.29,0.75
17:18:02.437,0.02,-0.55,1.23
17:18:02.470,-0.66,-0.18,1.32
17:18:02.504,-0.00,-0.23,0.63
17:18:02.537,0.06,-0.02,1.43
17:18:02.571,-1.14,0.07,0.56
17:18:02.609,0.23,-0.29,0.76
17:18:02.636,-0.15,-0.40,0.79
17:18:02.672,0.03,-0.40,0.89
17:18:02.704,0.05,0.20,1.29
17:18:02.737,-0.18,0.09,0.95
17:18:02.737,0.45,0.33,0.47
17:18:02.770,0.85,-0.19,1.25
17:18:02.802,0.42,0.31,1.27
17:18:02.837,0.46,-0.01,0.93
17:18:02.870,0.41,-0.71,0.59
17:18:02.903,1.09,-0.14,0.88
17:18:02.937,-0.07,0.18,1.70
17:18:02.970,-0.14,-0.05,1.13
17:18:03.004,0.09,-0.64,0.18
17:18:03.037,0.13,-0.92,0.25
17:18:03.070,0.08,-0.89,0.30
17:18:03.104,-0.19,-0.89,0.72
17:18:03.137,-0.62,-0.79,1.11
17:18:03.170,-0.30,-0.71,0.17
17:18:03.203,0.02,-0.41,0.85
17:18:03.237,0.49,-0.37,0.90
17:18:03.270,0.01,0.44,0.93
17:18:03.270,0.11,0.07,0.46
17:18:03.304,0.55,-0.28,1.02
17:18:03.337,-0.53,-0.44,0.81
17:18:03.370,-0.04,-0.07,0.59
17:18:03.404,0.15,-0.07,0.65
17:18:03.435,1.09,0.06,0.27
17:18:03.470,0.43,-0.05,0.74
17:18:03.501,0.31,0.08,1.14
17:18:03.535,0.32,-0.11,0.58
17:18:03.568,0.21,-0.16,0.97
17:18:03.601,0.34,-0.27,0.80
17:18:03.635,-0.18,0.45,1.49
17:18:03.668,-0.19,0.17,1.19
17:18:03.701,0.55,-0.13,0.60
17:18:03.735,-0.02,-0.59,1.18
17:18:03.767,0.46,-0.12,0.99
17:18:03.767,0.45,-0.27,1.29
17:18:03.801,-0.28,-0.12,0.73
17:18:03.835,0.57,-0.12,1.20
17:18:03.867,0.47,-0.12,1.20
17:18:03.901,-0.07,-0.20,1.10
17:18:03.934,-0.31,0.42,1.92
17:18:03.968,0.04,-0.05,1.70
17:18:04.001,-0.07,-0.04,1.16
17:18:04.034,-0.21,-0.45,0.59
17:18:04.067,-0.02,-0.16,1.18
17:18:04.101,-0.07,-0.14,1.01
17:18:04.135,0.12,-0.02,1.12
17:18:04.168,0.11,0.16,1.13
17:18:04.202,-0.31,-0.11,0.84
17:18:04.234,-0.31,-0.09,0.61
17:18:04.267,-0.01,-0.52,0.43
17:18:04.300,-0.61,-0.76,1.92
17:18:04.333,-0.74,-0.38,1.18
17:18:04.367,-0.63,-0.96,0.29
17:18:04.404,-0.91,-0.27,1.26
17:18:04.435,-0.06,0.63,1.67
17:18:04.435,1.12,0.19,1.25
17:18:04.468,0.37,-0.38,0.57
17:18:04.500,0.11,-0.55,0.88
17:18:04.535,-0.65,-0.21,1.07
17:18:04.567,0.67,-0.30,0.95
17:18:04.602,0.52,0.51,0.55
17:18:04.634,-0.02,-0.10,0.82
17:18:04.668,0.30,-0.07,1.06
17:18:04.701,-0.04,0.07,1.02
17:18:04.735,0.36,0.14,0.48
17:18:04.767,-0.20,-0.64,0.45
17:18:04.801,-0.30,-0.49,1.38
17:18:04.834,-0.05,-0.60,0.60
17:18:04.867,0.43,-0.02,0.93
17:18:04.899,0.82,0.01,0.80
17:18:04.931,0.78,0.09,0.31
17:18:04.967,0.51,-0.75,1.82
17:18:04.967,-0.37,-0.59,0.66
17:18:05.001,1.34,0.03,0.82
17:18:05.034,0.60,0.78,1.46
17:18:05.068,0.37,-0.30,1.08
17:18:05.100,0.26,-0.34,1.18
17:18:05.134,0.45,-0.33,1.18
17:18:05.165,0.29,-0.14,0.94
17:18:05.201,-0.54,-0.18,0.84
17:18:05.234,-0.71,-0.20,0.98
17:18:05.265,-0.32,-0.22,0.72
