time,x,y,z
17:35:27.657,0.03,-0.48,0.51
17:35:27.657,-0.39,-0.12,0.99
17:35:27.657,0.11,-0.02,0.92
17:35:27.706,-0.49,0.28,0.91
17:35:27.732,-0.25,0.29,0.66
17:35:27.769,0.12,-0.34,1.05
17:35:27.802,-0.09,-0.38,0.95
17:35:27.833,-0.07,0.02,0.84
17:35:27.866,-0.21,0.14,0.43
17:35:27.900,-0.29,-0.09,1.04
17:35:27.933,-0.18,0.39,1.32
17:35:27.964,-0.23,0.55,0.96
17:35:27.998,-0.06,-0.41,0.14
17:35:28.030,-0.20,-0.29,1.26
17:35:28.069,-0.03,-0.26,0.80
17:35:28.103,-0.25,-0.11,1.01
17:35:28.133,0.08,-0.63,1.21
17:35:28.167,-0.35,-0.39,1.08
17:35:28.198,-0.50,-0.42,1.79
17:35:28.230,-0.17,0.55,1.80
17:35:28.270,-0.13,0.73,1.25
17:35:28.270,0.20,-0.03,0.71
17:35:28.303,-0.18,0.14,1.07
17:35:28.334,-0.20,-0.09,0.46
17:35:28.367,-0.15,0.01,0.95
17:35:28.397,0.21,-0.02,0.48
17:35:28.430,0.25,0.04,0.52
17:35:28.463,-0.06,-0.56,0.66
17:35:28.496,0.12,-0.13,0.81
17:35:28.536,0.05,0.12,0.74
17:35:28.569,-0.15,-0.14,1.31
17:35:28.600,-0.12,0.00,0.88
17:35:28.633,-0.06,-0.14,0.81
17:35:28.663,0.14,-0.14,1.32
17:35:28.696,0.07,-0.11,0.54
17:35:28.734,0.07,-0.28,1.12
17:35:28.767,-0.04,-0.18,1.02
17:35:28.796,0.00,0.04,0.74
17:35:28.796,-0.10,0.08,1.12
17:35:28.831,-0.07,0.04,0.93
17:35:28.863,0.44,-0.00,0.89
17:35:28.903,0.03,-0.08,0.93
17:35:28.928,-0.07,-0.04,0.91
17:35:28.964,-0.19,-0.13,0.75
17:35:28.995,0.21,0.07,1.29
17:35:29.036,-0.28,-0.24,1.00
17:35:29.070,0.00,0.40,0.93
17:35:29.100,-0.04,-0.27,0.67
17:35:29.128,-0.20,0.02,0.66
17:35:29.163,-0.29,0.47,1.15
17:35:29.194,0.30,-0.18,0.88
17:35:29.230,0.03,-0.92,0.66
17:35:29.261,-0.05,-0.55,0.87
17:35:29.296,0.03,0.15,1.15
17:35:29.328,0.34,-0.43,1.10
17:35:29.328,0.19,-0.34,1.00
17:35:29.361,0.73,-0.32,0.77
17:35:29.394,0.44,-0.21,0.96
17:35:29.427,0.07,-0.42,1.61
17:35:29.460,-0.07,0.57,1.32
17:35:29.494,0.08,-0.06,0.56
17:35:29.527,0.07,-0.33,0.53
17:35:29.560,-0.16,-0.30,0.29
17:35:29.594,-0.40,-0.15,0.99
17:35:29.627,-0.28,0.11,0.75
17:35:29.669,-0.09,0.08,0.92
