time,x,y,z
14:02:04,0.03,-0.13,0.91
14:02:04,0.00,-0.11,0.89
14:02:04,-0.02,-0.13,0.90
14:02:04,-0.02,-0.12,0.93
14:02:04,0.00,-0.12,0.92
14:02:04,0.02,-0.10,0.91
14:02:04,0.01,-0.10,0.91
14:02:04,0.01,-0.12,0.90
14:02:04,0.00,-0.09,0.93
14:02:04,-0.01,-0.09,0.93
14:02:04,-0.00,-0.07,0.93
14:02:04,-0.02,-0.07,0.88
14:02:04,0.00,-0.05,0.92
14:02:04,0.00,-0.07,0.96
14:02:04,0.00,-0.07,0.90
14:02:04,0.00,-0.05,0.89
14:02:05,0.02,-0.09,0.89
14:02:05,0.00,-0.06,0.93
14:02:05,0.03,-0.09,0.91
14:02:05,0.03,-0.11,0.91
14:02:05,0.03,-0.12,0.94
14:02:05,-0.00,-0.10,0.91
14:02:05,0.02,-0.11,0.93
14:02:05,0.04,-0.12,0.91
14:02:05,-0.02,-0.13,0.89
14:02:05,-0.06,-0.16,0.91
14:02:05,-0.04,-0.16,0.89
14:02:05,0.02,-0.16,0.88
14:02:05,0.04,-0.16,0.85
14:02:05,0.08,-0.14,0.88
14:02:05,0.09,-0.12,0.88
14:02:05,0.04,-0.13,0.92
14:02:05,0.06,-0.11,0.87
14:02:05,0.07,-0.16,0.89
14:02:05,0.02,-0.14,0.89
14:02:05,-0.01,-0.23,0.92
14:02:06,0.02,-0.20,0.95
14:02:06,0.00,-0.12,0.88
14:02:06,0.14,-0.30,0.90
14:02:06,0.16,-0.28,0.89
14:02:06,0.10,-0.25,0.92
14:02:06,0.13,-0.37,0.96
14:02:06,0.12,-0.26,0.75
14:02:06,0.12,-0.09,0.88
14:02:06,0.04,-0.12,1.04
14:02:06,0.06,-0.31,1.02
14:02:06,-0.10,-0.14,0.91
14:02:06,-0.04,-0.12,1.05
14:02:06,-0.06,-0.12,0.86
14:02:06,0.06,-0.25,0.90
14:02:06,0.12,-0.01,0.92
14:02:06,-0.06,-0.14,0.95
14:02:06,0.01,-0.23,0.91
14:02:06,-0.02,0.02,0.89
14:02:06,-0.10,-0.29,0.88
14:02:07,0.01,-0.18,0.92
14:02:07,0.10,-0.04,0.91
14:02:07,0.25,-0.29,0.96
14:02:07,0.22,-0.11,0.92
14:02:07,0.02,-0.21,0.86
14:02:07,0.14,-0.34,0.96
14:02:07,0.06,-0.22,0.96
14:02:07,0.12,-0.20,0.83
14:02:07,0.24,-0.13,0.97
14:02:07,0.33,-0.23,0.95
14:02:07,0.22,-0.27,0.85
14:02:07,0.22,-0.23,0.94
14:02:07,0.20,-0.17,0.95
14:02:07,0.02,-0.22,0.87
14:02:07,-0.07,-0.24,0.87
14:02:07,-0.06,-0.16,0.91
14:02:07,-0.00,-0.12,0.91
14:02:07,0.20,-0.25,0.84
14:02:07,0.16,-0.08,0.89
14:02:08,0.06,-0.23,0.86
14:02:08,0.02,-0.22,0.85
14:02:08,0.04,-0.14,0.88
14:02:08,0.01,-0.20,0.86
14:02:08,0.10,-0.16,0.88
14:02:08,0.14,-0.09,0.86
14:02:08,0.16,-0.17,0.86
14:02:08,0.15,-0.15,0.96
14:02:08,0.13,-0.12,0.94
14:02:08,0.05,-0.25,0.96
14:02:08,-0.01,-0.16,0.96
14:02:08,-0.06,-0.24,0.89
14:02:08,0.02,-0.25,0.94
14:02:08,0.01,-0.11,0.86
14:02:08,-0.04,-0.18,0.78
14:02:08,-0.16,-0.16,0.87
14:02:08,-0.05,-0.15,0.87
14:02:08,0.09,-0.25,0.86
14:02:08,0.07,-0.13,0.98
14:02:08,0.07,-0.09,0.96
14:02:09,0.16,-0.32,0.87
14:02:09,0.20,-0.17,0.98
14:02:09,0.28,-0.08,0.89
14:02:09,0.24,-0.12,0.92
14:02:09,0.15,-0.19,0.93
14:02:09,0.08,-0.15,0.93
14:02:09,0.10,-0.35,0.93
14:02:09,0.23,-0.20,0.98
14:02:09,0.27,-0.05,0.86
14:02:09,0.14,-0.20,0.91
14:02:09,0.18,-0.14,0.94
14:02:09,0.20,-0.23,0.96
14:02:09,0.21,-0.16,0.95
14:02:09,0.21,-0.20,0.89
14:02:09,0.22,-0.16,0.90
14:02:09,0.18,-0.17,0.92
14:02:09,0.11,-0.28,0.88
14:02:09,0.20,-0.28,0.97
14:02:09,0.19,-0.14,0.84
