time,x,y,z
14:03:48,0.21,-0.23,0.94
14:03:48,0.20,-0.27,0.94
14:03:48,0.17,-0.23,0.94
14:03:48,0.13,-0.24,0.96
14:03:48,0.17,-0.28,0.91
14:03:48,0.18,-0.13,0.88
14:03:48,0.22,-0.19,0.95
14:03:48,0.18,-0.25,0.95
14:03:48,0.13,-0.19,0.94
14:03:48,0.15,-0.25,0.93
14:03:48,0.12,-0.14,0.98
14:03:48,0.11,-0.07,0.99
14:03:48,0.19,-0.27,0.93
14:03:48,0.20,-0.23,0.93
14:03:48,0.21,-0.26,0.94
14:03:48,0.21,-0.31,0.86
14:03:48,0.24,-0.20,0.83
14:03:48,0.20,-0.24,0.81
14:03:48,0.31,-0.35,0.94
14:03:49,0.32,-0.16,1.05
14:03:49,0.29,-0.22,1.12
14:03:49,0.28,-0.28,1.11
14:03:49,0.29,-0.20,1.11
14:03:49,0.37,-0.22,1.02
14:03:49,0.26,-0.11,0.96
14:03:49,0.26,-0.19,0.97
14:03:49,0.26,-0.26,0.88
14:03:49,0.27,-0.13,0.89
14:03:49,0.36,-0.23,0.93
14:03:49,0.33,-0.03,0.88
14:03:49,0.36,-0.11,0.88
14:03:49,0.36,0.03,1.02
14:03:49,0.35,-0.23,1.02
14:03:49,0.22,-0.21,0.92
14:03:49,0.21,-0.09,0.99
14:03:49,0.27,-0.23,0.95
14:03:49,0.21,-0.07,0.87
14:03:49,0.32,-0.16,0.90
14:03:50,0.30,-0.19,0.91
14:03:50,0.26,-0.06,0.91
14:03:50,0.22,-0.19,0.96
14:03:50,0.20,-0.10,0.95
14:03:50,0.24,-0.16,1.02
14:03:50,0.17,-0.11,0.98
14:03:50,0.24,-0.07,0.96
14:03:50,0.26,-0.06,0.93
14:03:50,0.27,-0.14,0.91
14:03:50,0.22,-0.13,0.92
14:03:50,0.21,-0.14,0.85
14:03:50,0.24,-0.10,0.92
14:03:50,0.22,-0.13,0.96
14:03:50,0.22,-0.08,0.92
14:03:50,0.31,-0.11,0.90
14:03:50,0.29,-0.09,0.89
14:03:50,0.27,-0.08,0.90
14:03:50,0.27,-0.13,0.96
14:03:50,0.23,-0.14,0.93
14:03:50,0.20,-0.16,0.96
14:03:51,0.24,-0.16,0.94
14:03:51,0.30,-0.10,0.94
14:03:51,0.29,-0.20,0.93
14:03:51,0.23,-0.06,0.93
14:03:51,0.19,-0.20,0.93
14:03:51,0.24,-0.10,0.90
14:03:51,0.21,-0.15,0.95
14:03:51,0.18,-0.02,0.92
14:03:51,0.22,-0.12,0.94
14:03:51,0.11,-0.22,0.92
14:03:51,0.08,-0.05,0.89
14:03:51,0.07,-0.22,0.92
14:03:51,-0.01,-0.11,0.91
