time,x,y,z
14:08:49,0.34,0.17,1.01
14:08:49,0.17,0.26,0.83
14:08:49,0.04,-0.03,0.95
14:08:49,-0.18,-0.07,0.91
14:08:49,0.11,0.02,0.91
14:08:49,0.39,0.14,0.98
14:08:49,0.41,0.10,0.92
14:08:49,0.32,0.02,0.90
14:08:49,0.22,0.15,1.02
14:08:49,0.00,-0.02,0.88
14:08:49,0.22,0.06,0.93
14:08:50,0.14,0.04,1.00
14:08:50,0.30,0.04,0.93
14:08:50,0.17,0.13,0.89
14:08:50,0.16,-0.01,0.96
14:08:50,0.18,0.05,0.99
14:08:50,0.39,-0.06,0.92
14:08:50,0.67,-0.02,0.88
14:08:50,0.50,-0.08,0.90
14:08:50,0.29,-0.17,0.95
14:08:50,0.34,-0.10,0.88
14:08:50,0.19,-0.13,0.95
14:08:50,0.36,-0.11,0.93
14:08:50,0.45,-0.18,0.87
14:08:50,0.48,-0.02,0.85
14:08:50,0.27,0.00,0.94
14:08:50,0.08,-0.16,1.04
14:08:50,0.01,-0.13,0.89
14:08:50,0.28,-0.34,0.79
14:08:50,0.03,-0.17,1.00
14:08:50,0.16,-0.14,1.02
14:08:51,0.30,-0.25,1.09
14:08:51,0.39,0.01,1.04
14:08:51,0.33,-0.10,0.89
14:08:51,0.09,-0.05,0.76
14:08:51,0.02,-0.37,1.09
14:08:51,0.54,-0.15,1.02
14:08:51,0.46,0.04,0.88
14:08:51,0.94,-0.22,0.75
14:08:51,0.32,-0.14,0.93
14:08:51,0.57,-0.04,0.82
14:08:51,0.28,-0.16,0.89
14:08:51,0.28,0.05,0.91
14:08:51,0.77,0.06,0.77
14:08:51,0.64,-0.05,0.89
14:08:51,0.55,0.21,1.15
14:08:51,0.36,-0.35,0.95
14:08:51,0.16,0.07,0.93
14:08:51,0.20,0.12,1.34
14:08:51,0.86,-0.05,0.79
14:08:52,1.03,-0.13,0.82
14:08:52,0.14,-0.01,0.49
14:08:52,0.58,0.02,1.07
14:08:52,0.32,0.03,1.13
14:08:52,0.27,-0.31,0.88
14:08:52,0.61,-0.21,0.70
14:08:52,0.30,0.03,1.53
14:08:52,0.39,0.14,0.88
14:08:52,0.22,-0.44,1.08
14:08:52,0.02,-0.48,0.96
14:08:52,-0.00,-0.29,0.65
14:08:52,0.18,-0.65,0.86
14:08:52,0.31,-0.36,0.92
14:08:52,0.25,0.32,0.92
14:08:52,0.64,0.17,0.99
14:08:52,0.57,-0.56,0.92
14:08:52,0.28,-0.07,0.88
14:08:52,0.53,0.09,0.90
14:08:52,0.16,-0.24,0.86
14:08:53,0.32,-0.13,0.93
14:08:53,0.43,-0.27,0.98
14:08:53,0.38,0.01,1.02
14:08:53,0.43,0.08,1.02
14:08:53,0.57,-0.05,0.97
14:08:53,0.60,-0.03,0.92
14:08:53,0.54,0.05,0.83
14:08:53,0.46,-0.12,0.80
14:08:53,0.45,-0.12,0.87
14:08:53,0.29,-0.18,0.99
14:08:53,0.32,-0.19,0.87
14:08:53,0.44,0.04,0.85
14:08:53,0.53,0.12,1.01
14:08:53,0.31,-0.20,1.16
14:08:53,0.18,-0.33,0.86
14:08:53,0.34,0.08,0.89
14:08:53,0.51,-0.19,0.96
14:08:53,0.49,0.01,0.79
14:08:53,0.44,-0.14,0.95
14:08:53,0.37,-0.31,0.99
14:08:54,0.30,-0.07,1.01
14:08:54,0.18,-0.23,1.02
14:08:54,0.20,-0.10,1.03
14:08:54,0.19,-0.10,0.95
14:08:54,0.08,-0.19,0.91
14:08:54,0.19,-0.06,1.00
14:08:54,0.04,-0.24,0.93
