time,x,y,z
13:44:55.079,-0.36,-0.07,0.82
13:44:55.079,-0.42,0.03,0.88
13:44:55.096,-0.30,0.01,0.84
13:44:55.132,-0.32,0.07,0.84
13:44:55.163,-0.38,0.04,0.84
13:44:55.198,-0.36,0.05,0.83
13:44:55.232,-0.45,-0.01,0.83
13:44:55.265,-0.46,0.08,0.89
13:44:55.296,-0.51,0.03,0.85
13:44:55.330,-0.41,-0.03,0.91
13:44:55.363,-0.41,0.07,0.91
13:44:55.398,-0.39,-0.01,0.86
13:44:55.430,-0.41,-0.02,0.93
13:44:55.463,-0.37,0.00,0.91
13:44:55.463,-0.35,0.04,0.96
13:44:55.497,-0.27,-0.04,0.93
13:44:55.530,-0.30,0.07,0.94
13:44:55.563,-0.30,0.02,0.89
13:44:55.596,-0.27,-0.02,0.87
13:44:55.630,-0.29,0.05,0.90
13:44:55.664,-0.40,0.10,0.93
13:44:55.697,-0.38,-0.05,0.89
13:44:55.731,-0.36,-0.02,0.89
13:44:55.762,-0.38,-0.01,0.96
13:44:55.795,-0.41,0.12,0.96
13:44:55.828,-0.45,0.02,0.97
13:44:55.861,-0.41,-0.00,0.85
13:44:55.896,-0.45,0.08,0.92
13:44:55.928,-0.37,0.04,1.01
13:44:55.962,-0.41,0.14,0.94
13:44:55.995,-0.31,0.03,0.86
13:44:56.031,-0.37,0.12,0.90
13:44:56.061,-0.33,-0.05,0.85
13:44:56.095,-0.43,0.03,0.84
13:44:56.095,-0.43,-0.03,0.84
13:44:56.131,-0.39,-0.04,0.83
13:44:56.168,-0.43,0.04,0.88
13:44:56.195,-0.33,0.13,0.94
13:44:56.232,-0.33,0.13,0.95
13:44:56.261,-0.26,0.11,1.03
13:44:56.296,-0.28,0.16,0.93
13:44:56.327,-0.36,0.02,0.87
13:44:56.364,-0.44,0.02,0.79
13:44:56.396,-0.37,0.02,0.87
13:44:56.428,-0.41,-0.05,0.85
13:44:56.465,-0.36,-0.06,0.93
13:44:56.497,-0.33,0.16,0.96
13:44:56.528,-0.27,0.12,0.95
13:44:56.562,-0.34,0.15,0.92
13:44:56.595,-0.29,0.08,0.88
13:44:56.628,-0.30,0.01,0.83
13:44:56.661,-0.36,0.01,0.88
13:44:56.661,-0.30,0.03,0.90
13:44:56.695,-0.33,0.08,0.96
13:44:56.728,-0.14,-0.01,0.94
13:44:56.762,-0.24,0.07,0.91
13:44:56.795,-0.16,0.09,0.95
13:44:56.828,-0.15,0.05,0.90
13:44:56.861,-0.07,-0.02,0.86
13:44:56.895,-0.03,0.11,0.92
13:44:56.929,-0.02,0.07,0.91
13:44:56.962,-0.07,0.12,0.93
13:44:56.995,-0.07,0.08,0.88
13:44:57.028,-0.10,0.01,0.86
13:44:57.062,-0.12,0.10,0.90
13:44:57.095,-0.11,0.09,0.91
13:44:57.128,-0.23,0.16,0.96
13:44:57.159,-0.17,0.00,0.87
13:44:57.195,-0.22,0.01,0.89
13:44:57.195,-0.20,0.17,0.95
13:44:57.229,-0.14,0.11,0.98
13:44:57.261,-0.20,0.12,0.92
13:44:57.295,-0.15,0.02,0.89
13:44:57.329,-0.16,0.07,0.89
13:44:57.362,-0.08,0.11,0.95
13:44:57.395,-0.11,0.15,1.00
13:44:57.429,0.00,0.05,0.94
13:44:57.462,-0.03,0.15,0.91
13:44:57.495,0.02,0.06,0.96
13:44:57.527,0.02,0.04,0.82
13:44:57.561,-0.07,0.12,0.87
13:44:57.595,-0.02,0.08,0.88
13:44:57.629,-0.08,0.19,0.91
13:44:57.629,-0.04,0.09,0.90
13:44:57.662,0.02,0.09,0.93
13:44:57.694,0.07,0.16,0.90
13:44:57.725,0.06,0.01,0.88
13:44:57.760,-0.15,0.08,0.85
13:44:57.792,-0.01,-0.02,0.90
13:44:57.829,-0.11,0.15,0.90
13:44:57.861,-0.04,0.05,0.93
13:44:57.894,0.02,0.13,0.93
13:44:57.929,0.01,0.12,0.89
13:44:57.958,-0.00,0.02,0.91
13:44:57.991,-0.09,0.19,0.91
13:44:58.025,-0.09,0.07,0.92
13:44:58.057,-0.07,0.09,0.89
13:44:58.057,-0.08,0.12,0.88
13:44:58.091,-0.06,0.14,0.94
13:44:58.125,-0.02,0.16,0.92
13:44:58.158,-0.01,0.10,0.93
13:44:58.193,0.00,0.14,0.93
13:44:58.226,0.01,0.09,0.97
13:44:58.258,-0.04,0.12,0.93
13:44:58.293,0.07,0.06,0.90
13:44:58.328,0.16,0.12,0.95
13:44:58.358,-0.00,0.12,0.93
13:44:58.394,0.08,0.12,0.91
13:44:58.424,0.11,0.12,0.91
13:44:58.457,0.08,0.19,0.89
13:44:58.457,0.03,0.12,0.91
13:44:58.494,0.00,0.02,0.93
13:44:58.529,0.02,0.16,0.92
13:44:58.559,0.01,0.18,0.92
13:44:58.590,0.02,0.11,0.89
13:44:58.623,0.03,0.17,0.93
13:44:58.658,-0.02,0.14,0.89
13:44:58.696,0.02,0.08,0.93
13:44:58.724,-0.04,0.18,0.96
13:44:58.758,-0.04,0.11,0.89
13:44:58.790,0.01,0.08,0.89
13:44:58.790,0.04,0.17,0.91
13:44:58.827,0.02,0.14,0.94
13:44:58.857,-0.01,0.17,0.87
13:44:58.891,0.06,0.14,0.91
13:44:58.923,0.03,0.12,0.97
13:44:58.957,0.00,0.19,0.96
13:44:58.990,0.02,0.15,0.93
13:44:59.024,-0.09,0.15,0.93
13:44:59.058,-0.08,0.07,0.98
13:44:59.091,-0.11,0.14,0.94
13:44:59.124,-0.09,0.11,0.88
13:44:59.158,-0.05,0.17,0.90
13:44:59.196,-0.07,0.18,0.93
13:44:59.223,-0.06,0.10,0.97
13:44:59.223,-0.13,0.14,0.88
13:44:59.259,-0.14,0.09,0.91
13:44:59.292,-0.11,0.16,0.93
13:44:59.324,0.00,0.07,0.97
13:44:59.359,-0.16,0.19,0.94
13:44:59.390,-0.12,0.04,0.90
13:44:59.424,-0.13,0.13,0.92
13:44:59.457,-0.08,0.10,0.90
13:44:59.491,0.02,0.11,0.89
13:44:59.529,-0.04,0.22,0.96
13:44:59.555,-0.05,0.10,0.99
13:44:59.591,-0.09,0.12,0.98
13:44:59.628,-0.15,0.09,0.83
13:44:59.657,-0.14,0.11,0.86
13:44:59.689,-0.01,0.04,0.86
13:44:59.689,-0.03,0.18,0.87
13:44:59.722,0.01,0.14,0.91
13:44:59.758,0.02,0.04,0.89
13:44:59.791,-0.11,0.18,0.92
13:44:59.824,-0.04,0.06,0.99
13:44:59.858,-0.20,0.05,0.81
13:44:59.891,-0.09,0.11,0.91
13:44:59.921,-0.05,0.08,0.90
13:44:59.955,-0.07,0.07,0.91
13:44:59.991,-0.03,0.19,0.82
13:45:00.021,-0.11,0.07,0.91
13:45:00.054,-0.08,0.18,0.97
