time,x,y,z
13:41:43.626,-0.65,0.98,0.95
13:41:43.626,-0.06,-0.26,0.99
13:41:43.650,-0.32,0.24,0.90
13:41:43.690,-0.25,0.16,0.98
13:41:43.723,-0.34,0.10,0.76
13:41:43.756,-0.41,0.06,0.87
13:41:43.789,-0.45,0.05,0.83
13:41:43.826,-0.48,0.16,0.95
13:41:43.865,-0.33,0.00,0.88
13:41:43.865,-0.23,0.05,1.03
13:41:43.896,-0.27,0.26,0.87
13:41:43.922,-0.35,0.03,0.98
13:41:43.957,-0.40,0.09,0.77
13:41:43.991,-0.36,0.06,0.94
13:41:44.023,-0.36,0.15,0.84
13:41:44.056,-0.19,-0.00,0.96
13:41:44.088,-0.34,0.23,0.81
13:41:44.121,-0.22,0.06,0.96
13:41:44.157,-0.23,0.16,0.84
13:41:44.190,-0.36,0.14,0.98
13:41:44.222,-0.28,-0.01,0.87
13:41:44.260,-0.33,0.18,0.96
13:41:44.293,-0.25,0.11,0.84
13:41:44.325,-0.19,0.10,1.00
13:41:44.356,-0.34,0.12,0.86
13:41:44.388,-0.20,0.11,0.87
13:41:44.388,-0.18,0.09,0.95
13:41:44.421,-0.23,0.16,0.89
13:41:44.455,-0.16,0.10,0.98
13:41:44.488,-0.17,0.04,0.82
13:41:44.531,-0.20,0.14,0.99
13:41:44.554,-0.18,0.07,0.82
13:41:44.594,-0.18,0.03,0.95
13:41:44.627,-0.15,0.17,0.87
13:41:44.657,-0.07,0.14,0.90
13:41:44.689,-0.07,0.02,0.94
13:41:44.724,-0.01,0.18,0.89
13:41:44.756,-0.03,0.20,1.03
13:41:44.789,0.09,0.05,0.84
13:41:44.821,0.01,0.16,0.96
13:41:44.821,0.02,0.12,0.89
13:41:44.863,0.05,0.09,0.86
13:41:44.892,-0.03,0.17,0.91
13:41:44.925,0.05,0.14,0.87
13:41:44.956,0.05,0.16,0.96
13:41:44.991,0.05,0.16,0.86
13:41:45.022,0.02,0.19,0.88
13:41:45.054,0.07,0.09,0.98
13:41:45.096,-0.02,0.15,0.84
13:41:45.127,0.07,0.15,0.91
13:41:45.152,-0.04,0.14,0.95
13:41:45.189,-0.03,0.07,0.79
13:41:45.189,0.01,0.23,0.94
13:41:45.223,-0.07,0.14,0.92
13:41:45.255,0.00,0.07,0.88
13:41:45.288,-0.07,0.21,0.98
13:41:45.319,-0.07,0.20,0.89
13:41:45.357,-0.02,0.09,0.90
13:41:45.386,-0.06,0.16,0.95
13:41:45.420,-0.08,0.12,0.88
13:41:45.457,-0.07,0.21,0.92
13:41:45.487,-0.00,0.14,0.91
13:41:45.518,-0.08,0.19,1.00
13:41:45.554,-0.03,0.09,0.91
13:41:45.587,-0.06,0.16,0.86
13:41:45.628,-0.10,0.16,0.90
13:41:45.641,-0.03,0.09,0.94
13:41:45.685,-0.09,0.21,0.90
13:41:45.685,-0.06,0.09,0.86
13:41:45.718,-0.11,0.09,0.91
13:41:45.764,-0.10,0.09,0.94
13:41:45.775,-0.06,0.16,0.93
13:41:45.818,-0.05,0.21,0.90
13:41:45.851,-0.00,0.14,0.91
13:41:45.884,-0.09,0.20,0.90
13:41:45.930,-0.06,0.13,0.94
13:41:45.942,-0.13,0.21,0.89
13:41:45.984,-0.19,0.14,0.93
13:41:46.018,-0.06,0.16,0.83
13:41:46.052,-0.02,0.17,0.91
13:41:46.087,-0.06,0.17,0.95
13:41:46.146,-0.09,0.04,0.92
13:41:46.146,-0.15,0.16,0.96
13:41:46.184,-0.15,0.17,0.89
13:41:46.184,-0.09,0.13,0.88
13:41:46.227,-0.10,0.09,0.89
13:41:46.253,-0.07,0.15,0.92
13:41:46.285,-0.05,0.17,0.90
13:41:46.318,-0.02,0.17,0.91
13:41:46.351,-0.07,0.08,0.98
13:41:46.383,-0.10,0.11,0.88
13:41:46.418,-0.12,0.09,0.94
13:41:46.451,-0.12,0.14,0.96
13:41:46.484,0.00,0.15,0.91
13:41:46.518,-0.14,0.18,0.96
13:41:46.552,-0.08,0.11,0.96
13:41:46.587,-0.07,0.16,0.96
13:41:46.618,-0.14,0.13,0.92
13:41:46.652,-0.09,0.06,0.89
13:41:46.652,-0.11,0.23,0.91
13:41:46.684,0.01,0.09,0.96
13:41:46.718,-0.07,0.14,0.92
13:41:46.751,0.02,0.10,0.99
13:41:46.784,0.07,0.16,0.93
13:41:46.818,0.01,0.12,0.96
13:41:46.853,-0.05,0.04,0.88
13:41:46.882,-0.12,0.14,0.95
13:41:46.918,-0.12,0.02,0.93
13:41:46.951,-0.04,0.23,0.87
13:41:46.984,0.06,0.19,1.01
13:41:47.016,-0.01,0.08,0.88
13:41:47.051,-0.07,0.06,0.81
13:41:47.089,-0.10,0.29,0.83
13:41:47.089,-0.00,0.17,0.98
13:41:47.117,0.11,0.09,0.82
13:41:47.152,0.01,0.10,0.89
13:41:47.185,-0.04,0.19,0.87
13:41:47.218,-0.00,0.18,0.91
13:41:47.248,-0.01,-0.02,0.94
13:41:47.284,-0.08,0.15,0.95
13:41:47.318,-0.03,0.32,0.79
13:41:47.350,0.02,0.11,0.88
13:41:47.383,-0.05,0.06,0.97
13:41:47.418,-0.13,0.20,0.76
13:41:47.450,-0.02,0.05,0.88
13:41:47.485,0.02,0.06,1.01
13:41:47.518,0.04,0.28,0.92
13:41:47.518,0.10,0.17,0.98
13:41:47.551,-0.00,0.11,0.87
13:41:47.584,-0.09,0.09,0.88
13:41:47.616,-0.04,0.21,0.98
13:41:47.648,-0.01,0.03,1.09
13:41:47.682,0.01,0.11,0.92
13:41:47.718,0.10,0.25,0.96
13:41:47.751,0.16,0.13,0.91
13:41:47.785,-0.02,0.14,1.07
13:41:47.816,-0.06,0.17,0.86
13:41:47.852,-0.00,0.13,0.96
13:41:47.882,-0.04,0.21,0.79
13:41:47.916,0.09,0.09,0.98
13:41:47.916,0.07,0.20,0.85
13:41:47.950,-0.03,0.21,0.94
13:41:47.982,0.02,0.01,0.94
13:41:48.015,-0.08,0.21,0.93
13:41:48.052,-0.02,0.17,0.86
13:41:48.080,-0.02,0.12,0.82
13:41:48.114,0.02,0.13,0.89
13:41:48.150,0.05,0.20,0.82
13:41:48.180,0.04,0.12,0.94
13:41:48.213,0.07,0.15,0.95
13:41:48.247,0.00,0.17,0.97
13:41:48.280,0.06,0.10,0.90
13:41:48.280,0.02,0.19,0.93
13:41:48.314,0.12,0.07,0.91
13:41:48.347,-0.01,0.17,0.98
13:41:48.381,0.01,0.05,1.01
13:41:48.414,-0.04,0.19,0.85
13:41:48.450,-0.03,0.03,0.88
13:41:48.480,-0.06,0.18,0.90
13:41:48.517,0.03,0.12,0.88
13:41:48.548,0.00,0.21,0.92
13:41:48.579,0.00,0.14,0.94
13:41:48.617,-0.04,0.16,0.80
13:41:48.647,-0.05,0.15,0.91
13:41:48.679,-0.06,0.10,0.88
13:41:48.679,-0.08,0.12,0.93
13:41:48.714,-0.01,0.20,0.95
13:41:48.746,0.04,0.10,0.94
13:41:48.783,-0.06,0.15,0.92
13:41:48.813,-0.06,0.18,0.83
13:41:48.847,0.02,0.14,0.91
13:41:48.881,0.02,0.14,0.92
13:41:48.913,-0.01,0.13,0.86
13:41:48.947,0.03,0.13,0.90
13:41:48.980,0.01,0.23,0.88
13:41:49.012,0.07,0.11,0.95
13:41:49.047,-0.01,0.23,0.93
13:41:49.081,0.01,0.03,0.92
13:41:49.081,-0.03,0.08,0.91
13:41:49.114,-0.06,0.10,0.84
13:41:49.148,0.07,0.06,0.92
13:41:49.178,0.04,0.13,0.91
13:41:49.212,0.02,0.04,0.87
13:41:49.247,0.06,0.05,0.93
13:41:49.282,0.05,0.05,0.93
13:41:49.314,0.01,0.08,0.90
13:41:49.346,0.04,-0.02,0.98
13:41:49.381,0.00,0.08,0.89
13:41:49.413,0.04,-0.01,0.97
13:41:49.447,0.02,0.02,1.00
13:41:49.447,0.01,0.05,0.90
13:41:49.481,0.02,-0.02,0.89
13:41:49.514,-0.05,-0.06,0.86
13:41:49.544,-0.05,0.07,0.93
13:41:49.577,-0.08,0.10,0.86
13:41:49.614,0.02,-0.06,0.85
13:41:49.647,-0.04,0.04,0.92
13:41:49.681,-0.05,-0.01,0.94
13:41:49.713,-0.05,0.05,0.96
13:41:49.744,-0.07,-0.07,0.89
13:41:49.780,-0.08,0.15,0.96
13:41:49.814,-0.00,-0.14,0.98
13:41:49.847,-0.06,0.10,0.83
13:41:49.878,0.04,-0.07,1.01
13:41:49.915,-0.02,0.11,0.92
13:41:49.944,-0.02,0.00,0.94
13:41:49.980,-0.02,-0.09,0.88
13:41:50.014,-0.08,0.03,0.86
13:41:50.014,0.05,-0.08,1.04
13:41:50.049,0.09,0.09,0.93
13:41:50.079,0.09,-0.05,0.93
13:41:50.114,0.02,-0.03,0.89
13:41:50.145,-0.05,0.02,0.91
13:41:50.177,0.00,-0.05,0.90
13:41:50.216,0.03,0.12,0.91
13:41:50.243,0.13,-0.03,0.88
13:41:50.281,0.00,0.04,0.89
13:41:50.313,0.02,-0.03,0.90
13:41:50.347,0.04,0.02,0.90
13:41:50.380,0.08,0.05,0.95
13:41:50.412,0.04,0.05,0.93
13:41:50.412,0.01,-0.04,0.97
13:41:50.443,-0.05,0.06,0.87
13:41:50.476,0.05,-0.08,0.98
13:41:50.513,-0.01,0.13,0.94
13:41:50.544,0.17,-0.05,0.95
13:41:50.576,-0.00,0.09,0.93
13:41:50.614,-0.04,-0.05,0.92
13:41:50.643,-0.03,0.04,0.92
13:41:50.679,-0.05,-0.06,0.96
13:41:50.710,0.04,0.04,0.87
13:41:50.742,0.05,0.06,0.99
13:41:50.780,0.10,0.03,0.92
13:41:50.813,0.04,0.01,0.77
13:41:50.842,-0.06,0.02,0.90
13:41:50.875,0.00,-0.05,0.86
13:41:50.875,-0.09,0.11,0.91
13:41:50.917,0.10,-0.18,0.81
13:41:50.943,0.07,0.22,0.94
13:41:50.980,0.08,-0.05,0.97
13:41:51.013,0.02,0.04,0.99
13:41:51.043,0.13,0.12,0.99
