time,x,y,z
13:43:17.262,-0.18,-0.23,0.92
13:43:17.271,-0.23,-0.36,0.88
13:43:17.315,-0.03,-0.17,0.98
13:43:17.348,0.08,-0.21,0.99
13:43:17.383,0.01,-0.16,0.94
13:43:17.415,-0.10,-0.23,0.92
13:43:17.447,-0.21,-0.33,0.86
13:43:17.481,-0.32,-0.24,0.85
13:43:17.515,0.11,-0.01,0.91
13:43:17.515,0.16,-0.04,0.93
13:43:17.548,0.01,-0.08,0.96
13:43:17.582,-0.06,-0.07,0.90
13:43:17.616,-0.11,-0.15,0.94
13:43:17.647,-0.22,-0.15,0.89
13:43:17.685,-0.21,-0.21,0.92
13:43:17.713,-0.05,-0.15,0.99
13:43:17.749,0.06,-0.04,1.02
13:43:17.786,0.02,-0.07,0.94
13:43:17.822,0.06,-0.06,0.93
13:43:17.847,0.00,-0.10,0.87
13:43:17.882,0.03,-0.01,0.84
13:43:17.915,0.04,-0.11,0.75
13:43:17.948,0.08,-0.02,0.82
13:43:17.982,0.17,-0.09,0.88
13:43:18.015,0.10,-0.07,0.75
13:43:18.047,0.14,0.00,0.62
13:43:18.082,0.10,0.07,0.99
13:43:18.082,-0.13,-0.15,1.14
13:43:18.115,-0.24,-0.02,0.87
13:43:18.145,0.02,-0.19,1.05
13:43:18.179,-0.26,0.15,1.11
13:43:18.215,-0.21,-0.04,1.12
13:43:18.247,-0.11,0.12,1.02
13:43:18.278,-0.09,0.23,1.03
13:43:18.313,-0.10,0.12,1.04
13:43:18.348,-0.18,0.24,0.95
13:43:18.380,-0.14,0.15,0.98
13:43:18.412,-0.22,0.31,0.94
13:43:18.448,-0.12,0.16,0.95
13:43:18.482,-0.23,0.34,0.90
13:43:18.515,-0.12,0.24,0.74
13:43:18.548,-0.11,0.21,0.58
13:43:18.579,-0.06,0.25,0.91
13:43:18.611,-0.24,0.21,0.95
13:43:18.611,-0.19,0.29,0.80
13:43:18.647,-0.26,0.24,0.82
13:43:18.680,-0.18,0.14,0.84
13:43:18.711,-0.06,0.19,0.90
13:43:18.744,-0.07,0.37,1.04
13:43:18.779,-0.11,0.21,1.08
13:43:18.811,-0.19,0.37,0.79
13:43:18.844,-0.09,0.12,0.77
13:43:18.878,-0.13,0.16,0.91
13:43:18.911,-0.29,0.19,1.11
13:43:18.944,-0.25,0.14,0.85
13:43:18.979,-0.19,0.09,1.09
13:43:19.013,-0.43,-0.09,0.94
13:43:19.043,-0.49,0.11,1.00
13:43:19.078,-0.15,0.06,1.03
13:43:19.111,-0.05,0.20,0.75
13:43:19.111,0.01,0.25,1.17
13:43:19.144,-0.23,0.26,1.05
13:43:19.178,-0.08,0.02,1.14
13:43:19.211,-0.11,-0.03,1.02
13:43:19.247,-0.48,0.25,0.84
13:43:19.279,-0.30,-0.05,0.68
13:43:19.311,-0.44,0.17,0.86
13:43:19.344,-0.04,0.25,0.96
13:43:19.379,-0.04,0.14,0.98
13:43:19.414,-0.11,0.18,0.87
13:43:19.444,-0.21,0.28,0.66
13:43:19.479,-0.21,-0.13,0.76
13:43:19.511,0.16,-0.23,1.07
13:43:19.543,-0.10,0.54,0.81
13:43:19.578,-0.02,-0.04,1.24
13:43:19.611,-0.45,-0.12,1.20
13:43:19.647,-0.72,0.16,0.78
13:43:19.679,-0.68,-0.17,0.93
13:43:19.714,-0.48,-0.21,0.80
13:43:19.743,0.00,-0.00,0.97
13:43:19.743,-0.01,0.25,1.17
13:43:19.777,0.24,0.16,0.99
13:43:19.811,-0.05,0.07,0.98
13:43:19.844,-0.29,0.14,0.80
13:43:19.877,-0.34,-0.02,0.61
13:43:19.913,-0.63,-0.09,0.95
13:43:19.943,-0.70,0.30,0.88
13:43:19.977,-0.35,0.03,0.66
13:43:20.016,-0.45,-0.03,1.01
13:43:20.042,-0.47,-0.01,0.63
13:43:20.077,-0.33,0.09,1.07
13:43:20.111,-0.72,-0.16,0.84
13:43:20.141,-0.34,-0.13,0.77
13:43:20.177,-0.49,0.15,0.77
13:43:20.213,-0.24,-0.13,0.95
13:43:20.244,0.02,0.05,1.03
13:43:20.280,-0.12,0.18,0.70
13:43:20.309,-0.16,0.01,1.08
13:43:20.346,-0.41,-0.10,0.89
13:43:20.346,-0.27,-0.01,0.88
13:43:20.376,-0.45,-0.04,0.93
13:43:20.409,-0.46,-0.12,0.91
13:43:20.447,-0.36,-0.02,0.92
13:43:20.474,-0.34,-0.05,0.91
13:43:20.514,-0.48,0.01,1.07
13:43:20.544,-0.46,-0.05,0.77
13:43:20.576,-0.52,0.18,0.95
13:43:20.610,-0.40,-0.09,0.78
13:43:20.646,-0.29,0.00,0.87
13:43:20.675,-0.20,-0.07,0.86
13:43:20.710,-0.32,0.28,0.90
13:43:20.740,-0.23,-0.18,0.86
13:43:20.778,-0.41,0.04,0.81
13:43:20.813,-0.40,-0.15,0.79
13:43:20.843,-0.41,-0.08,0.84
