segundos decorridos,x,y,z
53217,"0,06","-0,04","0,89"
53217,"0,06","-0,03","0,93"
53217,"0,05","-0,04","0,93"
53217,"0,06","-0,05","0,93"
53217,"0,05","-0,05","0,93"
53217,"0,06","-0,05","0,89"
53217,"0,05","-0,04","0,91"
53217,"0,05","-0,04","0,93"
53217,"0,07","-0,04","0,94"
53217,"0,05","-0,04","0,95"
53217,"0,05","-0,05","0,93"
53217,"0,05","-0,05","0,89"
53217,"0,04","-0,05","0,91"
53217,"0,06","-0,04","0,91"
53217,"0,07","-0,04","0,94"
53217,"0,07","-0,05","0,95"
53217,"0,05","-0,05","0,92"
53217,"0,05","-0,05","0,91"
53217,"0,04","-0,05","0,9"
53217,"0,05","-0,05","0,9"
53217,"0,05","-0,05","0,93"
53217,"0,05","-0,04","0,93"
53217,"0,06","-0,04","0,94"
53217,"0,06","-0,05","0,92"
53217,"0,05","-0,05","0,9"
53218,"0,05","-0,04","0,91"
53218,"0,06","-0,04","0,93"
53218,"0,06","-0,04","0,95"
53218,"0,05","-0,05","0,96"
53218,"0,06","-0,05","0,93"
53218,"0,05","-0,05","0,9"
53218,"0,04","-0,04","0,91"
53218,"0,06","-0,04","0,91"
53218,"0,07","-0,04","0,95"
53218,"0,06","-0,04","0,94"
53218,"0,04","-0,05","0,92"
53218,"0,05","-0,05","0,92"
53218,"0,05","-0,05","0,89"
53218,"0,06","-0,04","0,9"
53218,"0,06","-0,05","0,93"
53218,"0,05","-0,05","0,93"
53218,"0,05","-0,05","0,93"
53218,"0,05","-0,05","0,92"
53218,"0,05","-0,05","0,89"
53218,"0,06","-0,04","0,9"
53218,"0,06","-0,03","0,92"
53218,"0,07","-0,03","0,93"
53218,"0,05","-0,04","0,94"
53218,"0,05","-0,05","0,92"
53218,"0,05","-0,05","0,9"
53218,"0,05","-0,05","0,91"
53218,"0,07","-0,05","0,93"
53218,"0,07","-0,04","0,95"
53218,"0,05","-0,05","0,94"
53218,"0,05","-0,04","0,9"
53218,"0,04","-0,05","0,89"
53218,"0,04","-0,05","0,89"
53218,"0,06","-0,04","0,9"
53219,"0,06","-0,04","0,93"
53219,"0,06","-0,04","0,94"
53219,"0,05","-0,04","0,93"
53219,"0,05","-0,05","0,91"
53219,"0,06","-0,05","0,88"
53219,"0,05","-0,05","0,89"
53219,"0,05","-0,04","0,92"
53219,"0,07","-0,04","0,95"
53219,"0,07","-0,03","0,96"
53219,"0,05","-0,04","0,95"
53219,"0,03","-0,04","0,91"
53219,"0,05","-0,05","0,9"
53219,"0,05","-0,05","0,89"
53219,"0,06","-0,05","0,89"
53219,"0,06","-0,04","0,93"
53219,"0,06","-0,04","0,95"
53219,"0,06","-0,03","0,95"
53219,"0,04","-0,05","0,91"
53219,"0,04","-0,07","0,87"
53219,"0,04","-0,06","0,88"
53219,"0,05","-0,05","0,91"
53219,"0,08","-0,04","0,95"
53219,"0,08","-0,03","0,96"
53219,"0,07","-0,03","0,96"
53219,"0,06","-0,04","0,95"
53219,"0,05","-0,05","0,9"
53219,"0,04","-0,06","0,88"
53219,"0,05","-0,06","0,87"
53219,"0,06","-0,05","0,9"
53219,"0,06","-0,04","0,93"
53219,"0,07","-0,03","0,96"
53219,"0,07","-0,04","0,96"
53220,"0,05","-0,04","0,93"
53220,"0,05","-0,05","0,91"
53220,"0,04","-0,06","0,88"
53220,"0,05","-0,05","0,88"
53220,"0,07","-0,04","0,89"
53220,"0,07","-0,04","0,93"
